DeviceID = e00fce68206506b1159c8936	Firmware Version = 2.0.1	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,DS18.0,SoilMoisture.0,DS18.1,SoilMoisture.1,DS18.2,SoilMoisture.2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE
1639109884,22.103882,-1.455612,0.000000,0.000000,0.000000,0.000000,0.000000,4.140625,76.581192,-0.312500,1.473559,-0.375000,1.068310,-0.187500,1.304370,1072.125000,2499.750000,11.812500,1714,89.808655,0.061798
1639109968,22.134399,-1.605148,0.000000,0.000000,0.000000,0.000000,0.000000,4.121094,71.892555,-0.312500,1.478394,-0.375000,1.066699,-0.187500,1.310010,1072.687500,2499.750000,11.812500,1730,89.532471,0.144581
1639111033,21.817017,-2.595825,0.000000,0.000000,0.000000,0.000000,0.000000,4.160156,60.170940,-0.375000,1.475977,-0.375000,1.073950,-0.187500,1.301147,1071.375000,2499.562500,12.000000,1728,90.266418,-0.063705
1639111979,21.878052,-2.964325,0.000000,0.000000,0.000000,0.000000,0.000000,4.160156,60.170940,-0.437500,1.480005,-0.375000,1.067505,-0.187500,1.305176,1071.000000,2499.937500,12.000000,1722,90.266418,-0.063705
1639112925,21.864319,-3.404922,0.000000,0.000000,0.000000,0.000000,0.000000,4.160156,60.952385,-0.437500,1.466309,-0.375000,1.074756,-0.187500,1.300342,1070.250000,2499.562500,12.000000,1717,90.312195,-0.077057
1639114052,21.968079,-3.797455,0.000000,0.000000,0.000000,0.000000,0.000000,4.160156,60.170940,-0.500000,1.474365,-0.375000,1.066699,-0.187500,1.305176,1069.687500,2499.750000,12.000000,1714,90.338135,-0.133137
1639114998,21.954346,-4.344864,0.000000,0.000000,0.000000,0.000000,0.000000,4.140625,60.170940,-0.562500,1.464697,-0.375000,1.067505,-0.187500,1.305176,1068.937500,2499.937500,12.000000,1722,90.342712,-0.189213
1639115944,21.876526,-5.103226,0.000000,0.000000,0.000000,0.000000,0.000000,4.140625,60.952385,-0.625000,1.455835,-0.375000,1.064282,-0.187500,1.310010,1068.187500,2499.937500,12.000000,1736,90.348816,-0.205235
1639116890,21.818542,-5.367584,0.000000,0.000000,0.000000,0.000000,0.000000,4.140625,60.170940,-0.687500,1.462280,-0.375000,1.068310,-0.187500,1.308398,1067.250000,2499.937500,12.000000,1718,90.367126,-0.245289
1639117972,21.820068,-5.613251,0.000000,0.000000,0.000000,0.000000,0.000000,4.140625,60.170940,-0.750000,1.443750,-0.375000,1.068310,-0.187500,1.307593,1066.125000,2499.750000,11.812500,1721,90.374756,-0.301365
