NODE_ID,log_date,Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,DS18.0,SoilMoisture.0,DS18.1,SoilMoisture.1,DS18.2,SoilMoisture.2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE
e00fce68b6dc19eefd628b4e,2000-00-00,943920001,10.978699,0.573807,0.013062,0.014893,0.014526,3.613281,335.238098,3.437500,79.706963,-0.437500,0.108765,0.062500,1.601660,0.500000,1.180298,1083.000000,2497.687500,10.500000,4118,95.359802,0.195316
e00fce68b6dc19eefd628b4e,2000-00-00,943920037,11.053467,0.605850,0.013672,0.014526,0.013428,6.015625,321.172180,3.378906,89.865692,-0.437500,0.107153,0.062500,1.611328,0.500000,1.180298,1083.750000,2497.687500,10.500000,4122,94.972229,0.307468
e00fce68b6dc19eefd628b4e,2000-00-00,1639242251,10.928345,0.512390,0.015137,0.015869,0.014526,6.171875,194.969482,3.398438,87.521370,-0.437500,0.111182,0.062500,1.605688,0.500000,1.187549,1083.937500,2497.312500,10.500000,4111,94.757080,0.320820
e00fce68b6dc19eefd628b4e,2000-00-00,1639243305,11.061096,0.573807,0.010620,0.011597,0.010864,6.054687,191.452988,3.398438,73.455437,-0.437500,0.108765,0.062500,1.599243,0.500000,1.189160,1083.187500,2497.687500,10.500000,4171,95.359802,0.195316
e00fce68b6dc19eefd628b4e,2000-00-00,1639244238,11.067200,0.386887,0.002197,0.003296,0.003906,5.800781,211.379730,3.417969,73.455437,-0.437500,0.111182,0.062500,1.612134,0.500000,1.187549,1083.000000,2497.500000,10.687500,4124,95.414734,0.208668
e00fce68b6dc19eefd628b4e,2000-00-00,943920012,10.848999,0.386887,0.008057,0.008911,0.008667,3.496094,236.776566,3.398438,80.488396,-0.437500,0.110376,0.062500,1.611328,0.500000,1.192383,1083.000000,2497.500000,10.687500,4167,95.414734,0.208668
e00fce68b6dc19eefd628b4e,2000-00-00,1639246736,10.818481,0.322800,0.008545,0.009399,0.009033,3.593750,361.416382,3.437500,107.057388,-0.437500,0.112793,0.062500,1.603271,0.500000,1.190771,1083.375000,2497.875000,10.500000,4177,95.080566,0.264744
e00fce68b6dc19eefd628b4e,2000-00-00,943920001,10.723877,0.253372,0.003052,0.003906,0.004272,3.515625,259.438324,3.398438,80.488396,-0.437500,0.110376,0.062500,1.603271,0.500000,1.192383,1083.000000,2497.687500,10.500000,4151,95.474243,0.179295
e00fce68b6dc19eefd628b4e,2000-00-00,943920024,10.758972,0.314789,0.002808,0.003906,0.004395,3.496094,243.418793,3.398438,96.898659,-0.437500,0.110376,0.062500,1.607300,0.500000,1.183520,1083.000000,2497.687500,10.687500,4139,95.469666,0.195316
e00fce68b6dc19eefd628b4e,2000-00-00,943920025,10.780334,-1.132507,0.006470,0.006714,0.006470,3.476562,277.411499,3.359375,92.210014,-0.437500,0.111987,0.125000,1.625024,0.562500,1.196411,1083.375000,2497.500000,10.687500,4565,95.675659,0.195316
