DeviceID = e00fce682699a15d165801b1	Firmware Version = 2.0.1	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,DS18.0,SoilMoisture.0,DS18.1,SoilMoisture.1,DS18.2,SoilMoisture.2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE
1639056265,25.160217,-1.920242,0.001343,0.001709,0.002197,1.464844,-0.390720,4.121094,74.236877,-0.812500,1.119067,0.000000,1.424414,0.812500,2.010937,1075.687500,2499.000000,11.812500,450,87.779236,0.200657
1639056436,25.183105,-1.920242,0.003906,0.004761,0.006104,1.933594,-0.390720,4.121094,74.236877,-0.812500,1.118262,0.000000,1.420386,0.812500,2.001270,1075.875000,2499.000000,11.812500,446,87.449646,0.299458
1639057503,24.702454,-1.543732,0.017822,0.022949,0.029541,3.769531,0.000000,4.121094,63.296707,-0.750000,1.138403,0.000000,1.413135,0.812500,2.018188,1075.687500,2499.187500,11.812500,454,88.037109,0.173954
1639058449,24.742126,-1.370163,0.005493,0.006165,0.007294,4.375000,0.000000,4.140625,63.296707,-0.750000,1.135986,0.000000,1.408301,0.812500,2.003686,1075.875000,2499.000000,11.812500,454,88.087463,0.144581
1639059394,24.566650,-0.798721,0.008972,0.009735,0.011230,4.687500,0.000000,4.179688,56.263737,-0.750000,1.129541,0.000000,1.405078,0.812500,2.014160,1075.875000,2499.000000,11.812500,459,88.133240,0.131229
1639060502,24.417114,-0.539703,0.012634,0.013092,0.014252,4.980469,0.000000,4.140625,55.482296,-0.750000,1.124707,0.000000,1.403467,0.812500,2.007715,1076.062500,2499.000000,11.812500,448,88.117981,0.144581
1639061447,24.201965,-0.016327,0.023132,0.022888,0.023865,5.234375,0.781441,4.140625,55.482296,-0.687500,1.140820,0.000000,1.415552,0.812500,2.014966,1076.250000,2499.000000,11.812500,450,88.127136,0.144581
1639062392,23.750305,0.643234,0.044769,0.044067,0.045685,5.488281,3.516484,4.140625,56.263737,-0.687500,1.127930,0.000000,1.412329,0.812500,2.009326,1076.250000,2499.000000,12.000000,445,88.142395,0.173954
1639063337,23.129272,1.970367,0.053223,0.052765,0.055145,5.566406,5.079365,4.140625,55.482296,-0.687500,1.146460,0.000000,1.420386,0.812500,2.001270,1076.437500,2499.000000,11.812500,448,88.145447,0.144581
1639064438,22.303772,3.567200,0.099579,0.096375,0.097229,5.781250,12.893773,4.140625,55.482296,-0.687500,1.127124,0.000000,1.403467,0.812500,2.001270,1076.625000,2499.000000,12.000000,450,88.172913,0.173954
1639065383,21.005249,6.146698,0.132721,0.128998,0.130798,5.859375,27.741148,4.160156,54.700855,-0.625000,1.140015,0.000000,1.413135,0.812500,1.997241,1076.812500,2499.187500,11.812500,449,88.160706,0.200657
1639066328,19.551086,8.363037,0.165344,0.160980,0.163727,5.742188,80.488396,4.179688,54.700855,-0.625000,1.139209,0.000000,1.408301,0.812500,1.998852,1077.000000,2499.187500,11.812500,448,88.151550,0.200657
1639067273,18.772888,10.392456,0.151428,0.156097,0.159485,5.957031,72.283272,4.179688,53.919415,-0.625000,1.121484,0.000000,1.414746,0.812500,2.008520,1077.375000,2499.000000,11.812500,440,88.145447,0.216679
