DeviceID = e00fce68e485873e6b6e983b	Firmware Version = 2.0.1	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,DS18.0,SoilMoisture.0,DS18.1,SoilMoisture.1,DS18.2,SoilMoisture.2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE
1649535211,16.494751,50.631027,0.009247,0.009644,0.009613,0.000000,0.000000,0.000000,0.000000,4.937500,0.199805,1.250000,0.216724,-0.062500,0.232837,2838.750000,2499.187500,0.750000,4700,99.998474,6.588081
1649535415,16.529846,49.755173,0.009659,0.010132,0.010056,0.000000,0.000000,0.000000,0.000000,4.937500,0.200610,1.250000,1.553320,-0.125000,1.551709,2835.375000,2499.187500,0.562500,4668,99.998474,6.702908
1649536479,16.297913,48.999481,0.008621,0.009338,0.009125,0.000000,0.000000,0.000000,0.000000,5.062500,0.204639,1.437500,1.558960,-0.062500,1.550903,2832.187500,2499.187500,0.750000,4479,99.998474,6.785686
1649537423,18.197632,41.509323,0.005859,0.005951,0.005966,0.000000,0.000000,0.000000,0.000000,5.125000,0.188525,1.500000,0.315015,-0.125000,0.330322,2829.750000,2499.375000,0.562500,4316,99.998474,6.772335
1649538367,18.817139,36.510544,0.005600,0.005722,0.005707,0.000000,0.000000,0.000000,0.000000,5.062500,0.169995,1.562500,0.257007,-0.062500,0.266675,2826.937500,2499.375000,0.562500,4188,99.998474,6.604103
1649539445,18.861389,33.509140,0.005478,0.005524,0.005524,0.000000,0.000000,0.000000,0.000000,4.875000,0.164355,1.625000,1.550098,-0.062500,1.556543,2824.312500,2499.000000,0.562500,4001,99.998474,6.307697
1649540389,18.798828,32.761459,0.004852,0.005066,0.005020,0.000000,0.000000,0.000000,0.000000,4.687500,0.165161,1.625000,0.331934,-0.062500,0.340796,2827.500000,2499.000000,0.562500,3840,99.998474,6.123444
1649541333,20.031738,28.248672,0.003754,0.003799,0.003845,0.000000,0.000000,0.000000,0.000000,4.562500,0.150659,1.625000,0.268286,-0.125000,0.280371,2824.875000,2499.000000,0.562500,3724,99.998474,5.856411
1649542277,19.813538,27.444916,0.004364,0.004440,0.004425,0.000000,0.000000,0.000000,0.000000,4.312500,0.159521,1.562500,0.240894,-0.062500,0.257007,2826.750000,2499.187500,0.562500,3604,99.998474,5.560005
1649543378,18.844604,29.695969,0.004852,0.005096,0.005005,0.000000,0.000000,0.000000,0.000000,4.187500,0.160327,1.562500,0.236060,-0.062500,1.558154,2828.625000,2499.000000,0.562500,3572,99.998474,5.335697
1649544322,19.288635,29.266052,0.004639,0.004761,0.004700,0.000000,0.000000,0.000000,0.000000,4.062500,0.170801,1.500000,0.228003,-0.125000,0.340796,2830.312500,2498.812500,0.562500,3543,99.998474,5.210194
1649545266,19.482422,29.015045,0.003494,0.003586,0.003586,0.000000,0.000000,0.000000,0.000000,4.000000,0.169995,1.500000,0.232031,-0.062500,0.294873,2831.250000,2498.812500,0.562500,3503,99.998474,5.111389
1649546210,19.236755,29.335480,0.007324,0.007507,0.007019,0.000000,0.000000,0.000000,0.000000,3.937500,0.174023,1.500000,0.220752,-0.062500,0.269092,2834.062500,2499.000000,0.562500,3489,99.998474,4.983215
1649547290,21.719360,24.870758,0.140259,0.148254,0.149536,5.214844,58.608059,4.179688,55.482296,3.812500,0.169995,1.500000,1.542847,-0.125000,1.555737,2828.625000,2498.812500,0.562500,3440,99.998474,4.798962
