DeviceID = e00fce682d4d9ca0f9a3b12d	Firmware Version = 2.0.1	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,DS18.0,SoilMoisture.0,DS18.1,SoilMoisture.1,DS18.2,SoilMoisture.2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE
1639110769,14.076233,-1.997681,0.000000,0.000000,0.000000,0.000000,-1.172161,4.160156,67.203911,-0.312500,0.335156,-0.437500,0.248145,0.187500,0.206250,2823.750000,2497.875000,11.812500,3626,89.280701,0.131229
1639110683,14.089966,-2.123184,0.000000,0.000122,0.000000,0.000000,-1.172161,4.140625,69.548233,-0.375000,0.302930,-0.437500,1.034473,0.250000,0.211084,2823.562500,2497.687500,11.812500,3611,88.961792,0.216679
1639111749,13.987732,-2.630539,0.000000,0.000000,0.000000,0.000000,-1.172161,4.160156,56.263737,-0.375000,0.250562,-0.437500,1.030444,0.250000,0.207861,2822.250000,2497.875000,11.812500,3614,89.697266,0.005722
1639112695,14.041138,-2.996368,0.000000,0.000000,0.000000,0.000000,-1.172161,4.179688,45.323566,-0.437500,0.242505,-0.437500,0.363354,0.250000,0.208667,2825.625000,2497.500000,11.812500,3609,89.720154,-0.007629
1639113641,14.022827,-3.191299,0.000000,0.000000,0.000000,0.000000,-1.172161,4.179688,45.323566,-0.437500,0.240088,-0.437500,0.298096,0.187500,0.206250,2825.812500,2497.687500,11.812500,3614,89.730835,-0.007629
1639114749,14.002991,-3.308792,0.000000,0.000000,0.000000,0.000000,-1.172161,4.160156,66.422470,-0.500000,0.332739,-0.500000,0.250562,0.250000,0.614722,2818.875000,2497.875000,12.000000,3596,89.721680,-0.037003
1639115695,14.118958,-4.686661,0.000000,0.000000,0.000000,0.000000,-0.781441,4.179688,56.263737,-0.562500,0.261035,-0.437500,1.029639,0.187500,0.339990,2820.000000,2497.687500,12.000000,3587,89.703369,-0.077057
1639116641,14.033508,-4.745407,0.000000,0.000000,0.000000,0.000000,-1.172161,4.160156,56.263737,-0.562500,0.238477,-0.500000,1.026416,0.250000,0.285205,2820.000000,2497.500000,11.812500,3590,89.715576,-0.063705
1639117587,14.219666,-5.188675,0.000000,0.000000,0.000000,0.000000,-0.781441,4.160156,66.422470,-0.625000,0.329517,-0.500000,0.335962,0.250000,0.621973,2817.375000,2497.875000,11.812500,3569,89.710999,-0.119781
1639118670,14.210510,-5.802841,0.000000,0.000000,0.000000,0.000000,-0.781441,4.160156,66.422470,-0.687500,0.328711,-0.500000,0.269897,0.312500,0.628418,2816.625000,2497.687500,11.812500,3572,89.756775,-0.149158
1639119616,14.109802,-6.107254,0.000000,0.000000,0.000000,0.000000,-0.781441,4.160156,67.203911,-0.750000,0.331128,-0.562500,0.247339,0.250000,0.626001,2816.812500,2497.875000,11.812500,3573,89.688110,-0.205235
1639120562,14.085388,-6.123276,0.000000,0.000000,0.000000,0.000000,-1.172161,4.160156,67.203911,-0.750000,0.327905,-0.562500,0.231226,0.187500,0.625195,2817.375000,2497.687500,11.812500,3566,89.730835,-0.218586
1639121508,14.155579,-6.497116,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,66.422470,-0.812500,0.323071,-0.562500,0.218335,0.187500,0.626807,2816.437500,2497.312500,12.000000,3563,89.743042,-0.205235
1639122590,14.108276,-6.862946,0.000000,0.000000,0.000000,0.000000,-0.781441,4.179688,67.203911,-0.875000,0.322266,-0.625000,0.212695,0.187500,0.629224,2815.875000,2497.875000,12.000000,3557,89.743042,-0.274662
1639123536,14.166260,-6.862946,0.000000,0.000000,0.000000,0.019531,-1.172161,4.160156,67.203911,-0.937500,0.323877,-0.625000,0.206250,0.250000,0.625195,2816.812500,2497.687500,12.000000,3570,89.720154,-0.330738
1639124482,14.013672,-5.509109,0.000000,0.000000,0.000000,0.000000,-1.172161,4.160156,67.203911,-0.875000,0.321460,-0.625000,0.198999,0.187500,0.625195,2818.875000,2497.875000,11.812500,3554,89.729309,-0.330738
1639125428,13.929749,-4.991074,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,66.422470,-0.875000,0.325488,-0.687500,0.191748,0.250000,0.623584,2819.625000,2497.875000,12.000000,3561,89.761353,-0.344090
1639126536,13.882446,-4.868240,0.000000,0.000000,0.000000,0.000000,-0.781441,4.179688,66.422470,-0.875000,0.323877,-0.687500,0.186914,0.250000,0.631641,2819.812500,2497.687500,11.812500,3559,89.756775,-0.360111
1639127482,13.865662,-4.625244,0.000000,0.000000,0.000000,0.000000,-0.781441,4.160156,45.323566,-0.937500,0.274731,-0.687500,0.193359,0.250000,0.345630,2825.812500,2497.687500,12.000000,3561,89.735413,-0.373463
1639128428,13.972473,-4.128571,0.000000,0.000000,0.000000,0.000000,-0.781441,4.160156,45.323566,-0.875000,0.261035,-0.687500,0.194971,0.250000,0.290845,2826.937500,2497.687500,12.000000,3536,89.765930,-0.360111
1639129374,13.847351,-3.722687,0.000000,0.000000,0.000000,0.000000,-1.172161,4.160156,45.323566,-0.812500,0.252173,-0.687500,0.198193,0.250000,0.270703,2827.312500,2497.875000,12.000000,3526,89.744568,-0.373463
1639130679,13.800049,-3.129883,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,67.203911,-0.812500,0.318237,-0.750000,0.193359,0.250000,0.626001,2822.250000,2497.875000,12.000000,3537,89.775085,-0.360111
1639131625,13.795471,-2.809448,0.000000,0.000000,0.000000,0.000000,-1.172161,4.160156,45.323566,-0.750000,0.286011,-0.687500,0.196582,0.250000,0.343213,2827.875000,2497.687500,12.000000,3541,89.765930,-0.330738
1639132571,13.864136,-2.691956,0.000000,0.000000,0.000000,0.000000,-0.781441,4.160156,45.323566,-0.750000,0.262646,-0.687500,0.197388,0.250000,0.287622,2828.437500,2497.875000,11.812500,3519,89.784241,-0.330738
1639133517,13.806152,-2.756042,0.000000,0.000000,0.000000,0.000000,-1.172161,4.160156,45.323566,-0.750000,0.244922,-0.687500,0.199805,0.250000,0.265869,2828.062500,2497.500000,11.812500,3528,89.802551,-0.317387
1639134599,13.902283,-2.630539,0.000000,0.000000,0.000000,0.000000,-1.172161,4.160156,56.263737,-0.750000,0.222363,-0.687500,1.015942,0.250000,0.248950,2824.312500,2497.687500,11.812500,3522,89.758301,-0.288013
1639135545,13.822937,-2.715988,0.000000,0.000000,0.000000,0.000000,-1.172161,4.160156,45.323566,-0.687500,0.230420,-0.687500,0.357715,0.250000,0.242505,2828.062500,2497.687500,12.000000,3517,89.772034,-0.301365
1639136491,13.980103,-2.862854,0.000000,0.000000,0.000000,0.000000,-0.781441,4.179688,45.323566,-0.687500,0.226392,-0.687500,0.294067,0.250000,0.236865,2828.062500,2497.687500,11.812500,3494,89.775085,-0.288013
1639137437,13.912964,-2.756042,0.000000,0.000000,0.000000,0.000000,-1.172161,4.160156,45.323566,-0.687500,0.221558,-0.625000,0.265869,0.250000,0.233643,2827.875000,2497.687500,11.812500,3500,89.747620,-0.288013
1639138519,13.871765,-2.691956,0.000000,0.000000,0.000000,0.000000,-1.172161,4.160156,56.263737,-0.687500,0.213501,-0.687500,1.016748,0.250000,0.228809,2824.312500,2497.875000,11.812500,3483,89.820862,-0.288013
1639139465,13.920593,-2.630539,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,45.323566,-0.687500,0.213501,-0.625000,0.363354,0.250000,0.224780,2827.875000,2497.875000,11.812500,3478,89.753723,-0.301365
1639140411,13.809204,-2.505035,0.000000,0.000000,0.000000,0.000000,-1.172161,4.160156,45.323566,-0.687500,0.207056,-0.687500,0.291650,0.250000,0.221558,2828.437500,2497.875000,11.812500,3490,89.784241,-0.288013
1639141357,13.766479,-2.515717,0.000000,0.000000,0.000000,0.000000,-0.781441,4.160156,45.323566,-0.687500,0.211890,-0.687500,0.270703,0.250000,0.221558,2828.250000,2497.875000,12.000000,3480,89.753723,-0.261311
1639142461,13.912964,-2.761383,0.000366,0.000488,0.000610,0.175781,-0.781441,4.160156,56.263737,-0.687500,0.198193,-0.687500,1.009497,0.250000,0.216724,2824.125000,2497.687500,12.000000,3483,89.781189,-0.261311
