DeviceID = e00fce68816c2bc59976cdf2	Firmware Version = 2.0.1	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,DS18.0,SoilMoisture.0,DS18.1,SoilMoisture.1,DS18.2,SoilMoisture.2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE
1641895714,20.515442,-6.211395,0.000000,0.000000,0.000000,0.000000,-0.781441,4.121094,68.766785,err.772,1.388159,-1.562500,0.003223,-0.812500,2.582959,1037.812500,2498.812500,0.937500,2866,99.998474,-1.158543
1641895896,20.816040,-6.232758,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,57.826618,err.772,1.394604,-1.562500,0.001611,-0.812500,2.581348,1038.562500,2498.625000,0.937500,2871,99.641418,-1.030365
1641896961,20.556641,-6.264801,0.000000,0.000000,0.000000,0.019531,-0.781441,4.140625,50.012211,err.772,1.382519,-1.562500,0.015308,-0.812500,2.577319,1038.187500,2498.625000,0.937500,2873,99.998474,-1.158543
1641897906,20.532227,-6.459732,0.000000,0.000000,0.000000,0.000000,-0.781441,4.121094,49.230770,err.772,1.386548,-1.562500,0.010474,-0.812500,2.584570,1038.187500,2499.000000,0.937500,2898,99.998474,-1.142521
1641898851,20.759583,-6.585236,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,50.012211,err.772,1.388965,-1.562500,0.009668,-0.812500,2.574097,1038.000000,2498.625000,0.750000,2895,99.998474,-1.158543
1641900209,20.584106,-6.710739,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,49.230770,err.772,1.395410,-1.562500,0.007251,-0.812500,2.565234,1037.812500,2498.437500,0.937500,2866,99.998474,-1.158543
1641901154,20.652771,-6.764145,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,50.012211,err.772,1.384131,-1.562500,0.010474,-0.812500,2.562817,1037.625000,2498.625000,0.937500,2869,99.998474,-1.171894
1641902099,20.674133,-6.732101,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,49.230770,err.772,1.385742,-1.562500,0.000000,-0.812500,2.577319,1037.437500,2498.812500,0.937500,2879,99.998474,-1.171894
1641903044,20.892334,-6.702728,0.000000,0.000000,0.000000,0.000000,-0.781441,4.101562,50.012211,err.772,1.382519,-1.562500,0.009668,-0.812500,2.578125,1037.250000,2498.625000,0.937500,2868,99.998474,-1.185246
1641904127,20.652771,-6.764145,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,49.230770,err.772,1.381714,-1.625000,0.007251,-0.812500,2.565234,1037.062500,2498.625000,0.750000,2884,99.998474,-1.198597
1641905072,20.758057,-6.825562,0.000000,0.000000,0.000000,0.058594,-0.781441,4.140625,50.012211,err.772,1.382519,-1.562500,0.012891,-0.812500,2.577319,1037.062500,2498.625000,0.937500,2869,99.998474,-1.185246
1641906017,20.664978,-6.953735,0.000000,0.000000,0.000000,0.957031,-1.172161,4.121094,49.230770,err.772,1.371240,-1.625000,0.005640,-0.812500,2.577319,1036.687500,2498.625000,0.937500,2870,99.998474,-1.198597
1641906962,20.744324,-6.929703,0.000244,0.000244,0.000244,3.652344,0.781441,4.140625,50.012211,err.772,1.377686,-1.625000,0.012891,-0.812500,2.575708,1036.500000,2498.625000,0.937500,2881,99.998474,-1.185246
1641908044,20.735168,-6.953735,0.001099,0.001465,0.001709,5.136719,1.953602,4.140625,49.230770,err.772,1.378491,-1.625000,0.000000,-0.812500,2.557178,1036.312500,2498.625000,0.937500,2853,99.998474,-1.198597
1641908989,20.935059,-6.825562,0.003418,0.004395,0.004761,6.328125,24.224665,4.160156,50.012211,err.772,1.373657,-1.625000,0.000000,-0.812500,2.558789,1036.312500,2498.625000,0.750000,2855,99.998474,-1.185246
1641909934,20.857239,-6.894989,0.006592,0.007812,0.008301,6.289063,21.489622,4.160156,49.230770,err.772,1.371240,-1.625000,0.002417,-0.812500,2.579736,1036.125000,2498.812500,0.937500,2831,99.998474,-1.230640
1641910879,20.985413,-6.678696,0.011841,0.012939,0.013184,6.347657,82.832726,4.179688,49.230770,err.772,1.388965,-1.625000,0.011279,-0.875000,2.574902,1035.937500,2498.625000,0.937500,2854,99.998474,-1.230640
1641911961,20.848083,-6.459732,0.018188,0.019409,0.019165,6.562500,72.283272,4.199219,50.012211,err.772,1.376074,-1.625000,0.015308,-0.812500,2.573291,1035.750000,2498.812500,0.750000,2840,99.998474,-1.230640
1641912906,20.695496,-6.211395,0.005371,0.005798,0.005737,6.562500,72.283272,4.199219,53.137974,err.772,1.376880,-1.625000,0.012891,-0.812500,2.563623,1035.937500,2498.437500,0.937500,2848,99.998474,-1.214619
1641913850,20.512390,-5.952377,0.006622,0.007080,0.006958,6.621094,66.031746,4.199219,44.542126,err.772,1.332568,-1.625000,0.005640,-0.875000,2.568457,1035.937500,2498.812500,0.937500,2836,99.998474,-1.214619
1641914794,20.405579,-5.701370,0.008209,0.008636,0.008331,6.718750,60.561661,4.199219,44.542126,err.772,1.346265,-1.625000,0.010474,-0.875000,2.570874,1035.937500,2498.812500,0.937500,2811,99.998474,-1.214619
1641915894,20.481873,-5.469055,0.009521,0.010010,0.009705,6.718750,60.561661,4.199219,44.542126,err.772,1.333374,-1.625000,0.000000,-0.875000,2.570068,1036.125000,2498.812500,0.750000,2831,99.998474,-1.198597
1641916838,20.303345,-5.015106,0.011688,0.012238,0.011749,6.718750,59.389500,4.199219,44.542126,err.772,1.346265,-1.625000,0.005640,-0.875000,2.575708,1036.312500,2498.625000,0.937500,2815,99.998474,-1.185246
1641917782,20.220947,-4.700012,0.013000,0.013580,0.013000,6.718750,57.435898,4.179688,45.323566,err.772,1.347070,-1.625000,0.008057,-0.875000,2.575708,1036.500000,2498.812500,0.750000,2834,99.998474,-1.185246
1641918726,20.243835,-4.467697,0.012970,0.013550,0.013031,6.718750,56.263737,4.199219,44.542126,err.772,1.343042,-1.625000,0.019336,-0.875000,2.564429,1036.687500,2498.625000,0.937500,2827,99.998474,-1.158543
1641919904,20.240784,-3.952332,0.014587,0.015228,0.014557,6.679688,53.919415,4.199219,44.542126,err.772,1.347876,-1.625000,0.000000,-0.875000,2.570874,1037.250000,2498.812500,0.937500,2819,99.998474,-1.158543
1641920848,20.181274,-3.712006,0.014709,0.015350,0.014709,6.699219,56.263737,4.199219,44.542126,err.772,1.354321,-1.625000,0.003223,-0.875000,2.571680,1037.812500,2498.625000,0.937500,2843,99.998474,-1.142521
1641921792,20.005798,-3.330154,0.013062,0.013824,0.013397,6.640625,50.402931,4.199219,45.323566,err.772,1.340625,-1.625000,0.001611,-0.875000,2.562012,1038.187500,2498.437500,0.937500,2836,99.998474,-1.129169
1641922736,19.892883,-3.116531,0.015411,0.016083,0.015411,6.699219,52.356533,4.199219,44.542126,err.772,1.344653,-1.625000,0.000806,-0.875000,2.567651,1038.937500,2498.625000,0.937500,2816,99.998474,-1.142521
1641923819,19.792175,-2.702637,0.014771,0.015564,0.015015,6.640625,53.919415,4.199219,44.542126,err.772,1.353516,-1.625000,0.000000,-0.875000,2.567651,1039.687500,2498.812500,0.937500,2810,99.998474,-1.073090
