DeviceID = e00fce6867d3a0cda48e32a2	Firmware Version = 2.0.1	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,DS18.0,SoilMoisture.0,DS18.1,SoilMoisture.1,DS18.2,SoilMoisture.2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE
1649863609,67.707825,18.972092,0.010620,0.010010,0.007568,0.000000,0.000000,0.000000,0.000000,20.312500,0.159521,19.937500,0.134546,err.772,0.102319,2705.062500,2499.562500,0.750000,0,99.998474,20.164032
1649863741,92.681885,18.793182,0.001953,0.002075,0.001953,0.000000,0.000000,0.000000,0.000000,err.772,0.162744,19.750000,0.138574,19.500000,0.105542,2709.000000,2499.750000,0.750000,0,99.998474,20.260170
1649867542,97.875977,19.586258,0.001709,0.001709,0.001587,0.000000,0.000000,0.000000,0.000000,19.875000,0.165161,19.750000,0.136963,err.772,0.089429,2706.187500,2499.375000,0.937500,0,99.998474,20.220108
1649867715,98.001099,19.623642,0.002197,0.002319,0.002197,0.000000,0.000000,0.000000,0.000000,19.875000,0.165967,19.750000,0.145825,19.687500,0.087817,2707.687500,2499.750000,0.937500,0,99.998474,20.332268
1649868787,97.953796,19.655685,0.002197,0.002197,0.002075,0.000000,0.000000,0.000000,0.000000,19.875000,0.167578,19.812500,0.150659,19.687500,0.090234,2704.875000,2499.375000,0.937500,0,99.998474,20.276192
1649869739,97.909546,19.591599,0.003296,0.003418,0.003174,0.000000,0.000000,0.000000,0.000000,19.875000,0.170801,19.687500,0.149048,19.625000,0.086206,2704.875000,2499.375000,0.937500,0,99.998474,20.246811
1649870691,97.911072,19.546204,0.002319,0.002441,0.002197,0.000000,0.000000,0.000000,0.000000,19.875000,0.166772,19.687500,0.154687,19.625000,0.091040,2704.687500,2499.187500,1.125000,0,99.998474,20.302895
1649871779,97.959900,19.538193,0.001465,0.001465,0.001343,0.000000,0.000000,0.000000,0.000000,19.937500,0.168384,19.750000,0.155493,19.687500,0.088623,2704.687500,2499.187500,1.125000,0,99.998474,20.276192
1649872731,97.996521,19.476776,0.004272,0.004395,0.004028,0.000000,0.000000,0.000000,0.000000,19.937500,0.161133,19.687500,0.154687,19.625000,0.082983,2704.687500,2499.375000,1.125000,0,99.998474,20.260170
1649873683,97.999573,19.407349,0.003784,0.003906,0.003662,0.000000,0.000000,0.000000,0.000000,19.875000,0.157910,19.687500,0.157104,19.562500,0.087012,2704.687500,2499.375000,1.125000,0,99.998474,20.276192
1649874635,97.976685,19.586258,0.001709,0.001709,0.001465,0.000000,0.000000,0.000000,0.000000,19.937500,0.159521,19.750000,0.156299,19.687500,0.093457,2704.500000,2499.375000,1.312500,0,99.998474,20.289543
1649875743,97.988892,19.591599,0.002075,0.002075,0.001831,0.000000,0.000000,0.000000,0.000000,19.937500,0.154687,19.812500,0.152271,19.687500,0.083789,2704.500000,2499.187500,1.312500,0,99.998474,20.289543
1649876695,97.987366,19.570236,0.002441,0.002563,0.002319,0.000000,0.000000,0.000000,0.000000,19.875000,0.153882,19.625000,0.151465,19.562500,0.086206,2704.500000,2499.375000,1.312500,0,99.998474,20.260170
1649877647,97.937012,19.468765,0.003174,0.003296,0.002930,0.000000,0.000000,0.000000,0.000000,19.937500,0.155493,19.750000,0.155493,19.687500,0.088623,2704.500000,2499.375000,1.500000,0,99.998474,20.316246
1649878599,97.814941,19.468765,0.003296,0.003296,0.003052,0.000000,0.000000,0.000000,0.000000,19.937500,0.157910,19.812500,0.152271,19.687500,0.089429,2704.500000,2499.562500,1.500000,3,99.998474,20.302895
1649879707,97.755432,19.468765,0.002075,0.002075,0.001953,0.000000,0.000000,0.000000,0.000000,19.937500,0.154687,19.750000,0.158716,19.687500,0.090234,2704.500000,2499.375000,1.687500,133,99.998474,20.276192
1649880659,97.882080,19.709091,0.002563,0.002563,0.002319,0.000000,0.000000,0.000000,0.000000,19.937500,0.150659,19.687500,0.155493,19.562500,0.091040,2704.500000,2499.187500,1.687500,288,99.998474,20.302895
1649881611,97.848511,19.538193,0.004883,0.005005,0.004517,0.000000,0.000000,0.000000,0.000000,19.937500,0.149048,19.812500,0.157104,19.625000,0.089429,2704.500000,2499.562500,1.875000,446,99.998474,20.316246
1649882563,97.729492,19.468765,0.002686,0.002686,0.002441,0.000000,0.000000,0.000000,0.000000,19.937500,0.148242,19.750000,0.159521,19.687500,0.092651,2704.500000,2499.562500,2.250000,596,99.998474,20.289543
1649883651,97.552490,19.591599,0.003052,0.003174,0.002808,0.000000,0.000000,0.000000,0.000000,19.937500,0.147437,19.687500,0.161938,19.625000,0.087012,2704.687500,2499.375000,2.437500,755,99.998474,20.332268
1649884603,97.636414,19.709091,0.003174,0.003174,0.002930,0.000000,0.000000,0.000000,0.000000,19.937500,0.145825,19.812500,0.160327,19.687500,0.091846,2704.125000,2499.187500,2.812500,933,99.998474,20.332268
1649885555,97.660828,19.591599,0.003540,0.003662,0.003296,0.000000,0.000000,0.000000,0.000000,19.937500,0.150659,19.875000,0.163550,19.687500,0.088623,2704.312500,2499.375000,3.375000,1096,99.998474,20.332268
1649886507,97.593689,19.591599,0.003296,0.003418,0.003052,0.000000,0.000000,0.000000,0.000000,19.937500,0.144214,19.687500,0.164355,19.625000,0.091846,2704.500000,2499.375000,6.000000,1257,99.998474,20.316246
1649887595,97.529602,19.570236,0.003418,0.003418,0.003174,0.000000,0.000000,0.000000,0.000000,19.937500,0.146631,19.750000,0.163550,19.625000,0.091846,2704.500000,2499.562500,10.312500,1476,99.998474,20.332268
1649888547,97.502136,19.484787,0.002197,0.002197,0.001953,0.000000,0.000000,0.000000,0.000000,20.000000,0.146631,19.812500,0.161133,19.687500,0.088623,2704.500000,2499.562500,10.312500,1647,99.998474,20.358971
1649889499,97.434998,19.591599,0.002441,0.002441,0.002197,0.000000,0.000000,0.000000,0.000000,19.937500,0.149854,19.687500,0.157104,19.625000,0.091846,2704.500000,2499.375000,10.312500,1749,99.998474,20.302895
1649890451,97.366333,19.599609,0.002319,0.002319,0.002197,0.000000,0.000000,0.000000,0.000000,19.937500,0.142603,19.687500,0.167578,19.625000,0.089429,2704.500000,2499.187500,10.312500,1924,99.998474,20.316246
1649891540,97.367859,19.591599,0.001709,0.001709,0.001709,0.000000,0.000000,0.000000,0.000000,19.937500,0.143408,19.750000,0.160327,19.625000,0.087012,2704.500000,2499.375000,10.312500,2077,99.998474,20.332268
1649892492,97.195435,19.538193,0.001953,0.002075,0.001953,0.000000,0.000000,0.000000,0.000000,19.937500,0.148242,19.875000,0.161938,19.687500,0.089429,2704.500000,2499.562500,10.312500,2197,99.998474,20.316246
1649893444,97.207642,19.538193,0.002319,0.002319,0.002075,0.000000,0.000000,0.000000,0.000000,19.937500,0.149854,19.687500,0.163550,19.562500,0.082983,2704.312500,2499.375000,10.312500,2377,99.998474,20.289543
1649894396,97.225952,19.570236,0.001587,0.001587,0.001465,0.000000,0.000000,0.000000,0.000000,19.937500,0.141797,19.750000,0.166772,19.625000,0.091040,2704.500000,2499.187500,10.500000,2502,99.998474,20.332268
1649895505,97.084045,19.530182,0.000610,0.000610,0.000610,0.000000,0.000000,0.000000,0.000000,20.000000,0.145825,19.812500,0.158716,19.750000,0.085400,2704.500000,2499.562500,10.500000,2649,99.998474,20.302895
1649896457,96.913147,19.415359,0.000366,0.000366,0.000366,0.000000,0.000000,0.000000,0.000000,19.937500,0.139380,19.625000,0.161133,19.625000,0.091846,2704.500000,2499.562500,10.500000,2704,99.998474,20.276192
1649897409,96.873474,19.468765,0.000122,0.000122,0.000122,0.000000,0.000000,0.000000,0.000000,19.937500,0.142603,19.750000,0.158716,19.625000,0.092651,2704.500000,2499.562500,10.687500,2869,99.998474,20.345619
1649898361,96.903992,19.538193,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.937500,0.153076,19.812500,0.150659,19.687500,0.087817,2704.500000,2499.187500,10.687500,2944,99.998474,20.358971
