DeviceID = e00fce68af529fe2d2d7c809	Firmware Version = 2.0.1	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,DS18.0,SoilMoisture.0,DS18.1,SoilMoisture.1,DS18.2,SoilMoisture.2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE
1639110194,13.456726,-1.944275,0.000000,0.000000,0.000000,0.000000,-0.781441,4.121094,146.129425,-0.125000,0.224780,0.125000,0.597803,0.437500,0.730737,2824.125000,2495.812500,11.625000,876,93.515015,0.371555
1639110047,13.450623,-2.179260,0.000000,0.000000,0.000000,0.000000,-0.781441,4.160156,57.045181,-0.125000,0.236060,0.125000,0.597803,0.437500,0.506763,2826.750000,2496.000000,11.625000,877,92.970276,0.483711
1639111113,13.313293,-2.459641,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,59.389500,-0.125000,0.219141,0.125000,0.605054,0.437500,0.725903,2822.437500,2496.000000,11.625000,878,93.676758,0.326160
1639112059,13.398743,-2.585144,0.000000,0.000000,0.000000,0.000000,-0.781441,4.160156,48.449329,-0.125000,0.228003,0.062500,0.601831,0.437500,0.347241,2825.250000,2495.812500,11.625000,879,93.684387,0.312809
1639113005,13.391113,-2.929611,0.000000,0.000000,0.000000,0.000000,-0.781441,4.121094,48.449329,-0.125000,0.219946,0.062500,0.607471,0.437500,0.295679,2825.250000,2496.000000,11.625000,887,93.698120,0.296787
1639114233,13.467407,-3.185959,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,58.608059,-0.187500,0.202222,0.125000,0.601831,0.437500,0.726709,2821.687500,2495.812500,11.625000,878,93.750000,0.312809
1639115179,13.444519,-3.928299,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,59.389500,-0.187500,1.145654,0.125000,0.609888,0.437500,0.345630,2821.312500,2495.812500,11.625000,884,93.750000,0.283436
1639116125,13.491821,-4.408951,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,59.389500,-0.125000,0.346436,0.062500,0.608276,0.437500,0.732349,2820.562500,2495.812500,11.625000,900,93.730164,0.240711
1639117071,13.482666,-4.782791,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,58.608059,-0.187500,0.283594,0.062500,0.609082,0.437500,0.731543,2820.562500,2496.000000,11.625000,893,93.785095,0.240711
1639118304,13.403320,-4.312820,0.000000,0.000000,0.000000,0.000000,-0.781441,4.121094,59.389500,-0.250000,0.247339,0.125000,0.611499,0.375000,0.726709,2821.687500,2496.000000,11.625000,892,93.785095,0.171284
1639119250,13.491821,-4.494400,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,59.389500,-0.312500,0.230420,0.062500,0.611499,0.437500,0.731543,2821.312500,2496.000000,11.625000,904,93.812561,0.171284
1639120196,13.412476,-4.932327,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,59.389500,-0.375000,0.222363,0.062500,0.618750,0.437500,0.735571,2821.125000,2495.812500,11.625000,900,93.840027,0.128559
1639121142,13.545227,-4.932327,0.000000,0.000000,0.000000,0.000000,-0.781441,4.160156,59.389500,-0.375000,0.211084,0.062500,0.618750,0.437500,0.731543,2821.500000,2496.000000,11.625000,900,93.844604,0.085831
1639122342,13.499451,-4.243393,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,58.608059,-0.437500,0.207861,0.125000,0.619556,0.437500,0.733154,2823.000000,2496.000000,11.625000,914,93.873596,0.059128
