NODE_ID,log_date,Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,DS18.0,SoilMoisture.0,DS18.1,SoilMoisture.1,DS18.2,SoilMoisture.2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE
e00fce68af529fe2d2d7c809,2000-01-01,946756882,19.029236,-20.740433,0.000000,0.000000,0.000000,0.000000,-1.172161,4.101562,70.329674,err.772,0.897510,-14.875000,0.474536,-11.562500,0.248145,2897.062500,2497.687500,10.312500,4770,91.690063,-15.530251
e00fce68af529fe2d2d7c809,2000-01-01,1644675688,18.986511,-20.841904,0.000000,0.000000,0.000000,0.000000,-0.781441,4.082031,78.925522,-17.312500,0.903955,err.772,0.469702,err.772,0.246533,2900.062500,2497.500000,10.312500,4762,90.921021,-15.447472
e00fce68af529fe2d2d7c809,2000-01-01,1644677199,19.021606,-20.812531,0.000000,0.000000,0.000000,0.000000,-1.172161,4.062500,69.548233,-17.312500,0.895093,-14.937500,0.475342,-11.625000,0.249756,2899.312500,2497.875000,10.312500,4757,90.550232,-15.378042
e00fce68af529fe2d2d7c809,2000-01-01,1644683133,19.017029,-20.711060,0.000000,0.000000,0.000000,0.000000,-0.781441,4.082031,69.548233,-17.312500,0.891870,-15.000000,0.480981,-11.625000,0.240088,2900.437500,2497.687500,10.312500,4786,89.582825,-15.137712
e00fce68af529fe2d2d7c809,2000-01-01,1644689069,19.058228,-20.711060,0.000000,0.000000,0.000000,0.000000,-1.172161,4.082031,71.111115,-17.375000,0.887842,-14.937500,0.470508,-11.625000,0.240894,2900.437500,2497.687500,10.312500,4767,88.557434,-14.926756
e00fce68af529fe2d2d7c809,2000-01-01,1644727987,19.024658,-20.905991,0.000000,0.000000,0.000000,0.000000,-1.172161,4.082031,79.706963,-17.375000,0.904761,-14.937500,0.479370,-11.687500,0.248145,2899.875000,2497.875000,10.312500,4757,90.376282,-15.378042
e00fce68af529fe2d2d7c809,2000-01-01,1644733920,19.203186,-20.772476,0.000000,0.000000,0.000000,0.000000,-1.172161,4.082031,69.548233,-17.437500,0.893481,-15.000000,0.472119,-11.687500,0.239282,2900.625000,2497.875000,10.312500,4756,89.349365,-15.151064
e00fce68af529fe2d2d7c809,2000-01-01,1644739853,19.088745,-20.841904,0.000000,0.000000,0.000000,0.000000,-1.172161,4.082031,70.329674,-17.437500,0.895898,-15.000000,0.476953,-11.687500,0.240088,2900.812500,2497.875000,10.312500,4746,88.369751,-14.982834
e00fce68af529fe2d2d7c809,2000-01-01,1644745788,19.003296,-20.711060,0.000000,0.000000,0.000000,0.000000,-1.172161,4.082031,69.548233,-17.437500,0.890259,-15.000000,0.468091,-11.750000,0.239282,2900.625000,2497.875000,10.312500,4742,87.638855,-14.827955
e00fce68af529fe2d2d7c809,2000-01-01,1644771419,19.018555,-20.727081,0.000000,0.000122,0.000000,0.000000,-1.172161,4.082031,70.329674,-17.437500,0.898315,-15.062500,0.470508,-11.750000,0.242505,2899.875000,2497.687500,10.312500,4745,89.208984,-15.223164
