DeviceID = e00fce68d387c98c80fc79bc	Firmware Version = 2.0.1	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,DS18.0,SoilMoisture.0,DS18.1,SoilMoisture.1,DS18.2,SoilMoisture.2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE
1639111235,15.238953,-0.155182,0.000000,0.000000,0.000000,0.000000,-0.781441,4.121094,82.832726,-0.250000,2.334009,1.625000,1.156934,1.062500,1.406689,2820.937500,2498.062500,12.000000,8027,94.349670,1.009766
1639111172,15.151978,-0.123138,0.000000,0.000000,0.000000,0.000000,-1.172161,4.121094,92.210014,-0.187500,0.501123,1.625000,1.149683,1.125000,1.405078,2822.812500,2498.062500,12.000000,8016,94.056702,1.065842
1639112238,15.060425,-0.085754,0.000000,0.000244,0.000122,0.000000,-1.172161,4.140625,60.952385,-0.187500,0.323877,1.687500,1.158545,1.062500,1.408301,2822.437500,2497.875000,12.000000,7985,94.889832,0.910965
1639113184,15.162659,-0.107117,0.000000,0.000000,0.000000,0.000000,-1.172161,4.140625,50.793652,-0.187500,0.273926,1.625000,1.152100,1.062500,0.358521,2826.000000,2497.875000,12.000000,7931,94.929504,0.910965
1639114130,15.106201,-0.101776,0.000000,0.000000,0.000000,0.000000,-1.172161,4.140625,50.793652,-0.187500,0.244922,1.625000,1.156934,1.062500,0.288428,2826.000000,2497.875000,12.187500,7947,94.921875,0.884262
1639115231,15.162659,-0.069733,0.000000,0.000000,0.000000,0.000000,-1.172161,4.140625,60.952385,-0.187500,0.226392,1.625000,1.160156,1.062500,1.407495,2822.062500,2497.875000,12.000000,7872,94.917297,0.897614
1639116177,15.106201,-0.155182,0.000000,0.000000,0.000000,0.000000,-1.172161,4.140625,50.793652,-0.187500,0.220752,1.687500,1.156934,1.062500,0.355298,2826.000000,2497.687500,12.187500,7872,94.906616,0.897614
1639117123,15.164185,-0.123138,0.000000,0.000000,0.000000,0.000000,-1.172161,4.140625,50.793652,-0.187500,0.212695,1.625000,1.152905,1.062500,0.289233,2826.375000,2497.875000,12.000000,7812,94.903564,0.884262
1639118069,15.068054,-0.101776,0.000000,0.000000,0.000000,0.000000,-1.172161,4.140625,50.793652,-0.187500,0.204639,1.625000,1.154517,1.062500,0.259424,2826.187500,2497.687500,12.187500,7770,94.943237,0.884262
1639119378,15.145874,0.141220,0.000000,0.000000,0.000000,0.000000,-1.172161,4.121094,60.952385,-0.187500,0.201416,1.687500,1.153711,1.062500,1.411523,2822.437500,2497.875000,12.000000,7705,94.956970,0.870907
