DeviceID = e00fce68f5490112d61bdccb	Firmware Version = 2.0.1	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,DS18.0,SoilMoisture.0,DS18.1,SoilMoisture.1,DS18.2,SoilMoisture.2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE
1639110785,12.539673,0.848846,0.000122,0.000488,0.000122,0.000000,-0.781441,4.140625,75.799759,0.625000,1.296313,2.062500,0.155493,1.937500,1.451807,2816.812500,2497.312500,10.687500,1063,97.053528,1.810863
1639110836,12.492371,0.910263,0.000000,0.000000,0.000000,0.000000,-0.781441,4.121094,54.700855,0.687500,0.452783,2.125000,0.161133,2.000000,0.509180,2823.187500,2497.125000,10.687500,1050,96.675110,1.896317
1639111902,12.625122,0.966339,0.000000,0.000000,0.000000,0.000000,-1.172161,4.140625,54.700855,0.687500,0.297290,2.062500,0.161133,2.000000,1.448584,2818.687500,2497.125000,10.875000,1066,97.447205,1.728085
1639112848,12.438965,0.589828,0.000000,0.000122,0.000122,0.000000,-0.781441,4.140625,43.760685,0.750000,0.269092,2.125000,0.167578,2.000000,0.345630,2822.812500,2496.937500,10.687500,1058,97.457886,1.728085
1639113794,12.380981,0.589828,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,43.760685,0.687500,0.252979,2.062500,0.162744,2.000000,0.290039,2822.812500,2497.312500,10.687500,1065,97.465515,1.712063
1639114921,12.342834,0.659256,0.000000,0.000244,0.000122,0.000000,-1.172161,4.140625,54.700855,0.750000,0.243311,2.062500,0.160327,1.937500,1.456641,2818.687500,2496.937500,10.687500,1069,97.471619,1.712063
1639115867,12.445068,0.525742,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,43.760685,0.750000,0.236865,2.062500,0.161133,1.937500,0.342407,2822.437500,2497.125000,10.687500,1067,97.471619,1.712063
1639116813,12.451172,0.589828,0.000000,0.000122,0.000000,0.000000,-1.172161,4.140625,43.760685,0.687500,0.232031,2.062500,0.159521,2.000000,0.286816,2822.812500,2497.125000,10.687500,1047,97.471619,1.741436
1639117759,12.445068,0.344162,0.000000,0.000000,0.000000,0.000000,-0.781441,4.121094,43.760685,0.687500,0.229614,2.062500,0.157910,1.937500,0.269897,2823.000000,2497.125000,10.687500,1062,97.499084,1.698711
1639118841,12.275696,0.189285,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,43.760685,0.750000,0.224780,2.062500,0.156299,1.937500,0.255396,2822.812500,2497.312500,10.687500,1065,97.465515,1.685360
1639119787,12.268066,0.023727,0.000000,0.000122,0.000000,0.000000,-1.172161,4.140625,43.760685,0.625000,0.217529,2.062500,0.156299,1.937500,0.251367,2822.437500,2497.312500,10.687500,1068,97.465515,1.712063
1639120733,12.071228,-0.187225,0.000000,0.000000,0.000000,0.000000,-1.172161,4.140625,43.760685,0.750000,0.219946,2.000000,0.161133,1.937500,0.244116,2822.625000,2497.500000,10.687500,1070,97.494507,1.685360
1639121679,12.162781,-0.563736,0.000000,0.000000,0.000000,0.000000,-1.172161,4.140625,43.760685,0.750000,0.212695,2.062500,0.157104,1.937500,0.236060,2822.250000,2497.125000,10.687500,1058,97.476196,1.685360
1639122762,12.191772,-0.785370,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,43.760685,0.812500,0.211084,2.062500,0.157910,1.937500,0.232837,2822.062500,2496.937500,10.687500,1082,97.483826,1.712063
1639123708,12.261963,-1.036377,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,43.760685,0.750000,0.208667,2.000000,0.153882,1.937500,0.232031,2822.250000,2497.500000,10.687500,1068,97.479248,1.698711
1639124654,12.344360,-1.068420,0.000000,0.000122,0.000122,0.000000,-0.781441,4.160156,43.760685,0.687500,0.209473,2.062500,0.155493,1.937500,0.227197,2821.875000,2497.312500,10.687500,1057,97.476196,1.685360
1639125600,12.260437,-1.295395,0.000000,0.000000,0.000000,0.000000,-1.172161,4.140625,43.760685,0.750000,0.208667,2.062500,0.152271,1.937500,0.224780,2821.875000,2497.312500,10.687500,1073,97.471619,1.712063
1639126697,12.339783,-1.161880,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,43.760685,0.812500,0.202222,2.000000,0.153076,1.875000,0.225586,2821.875000,2497.125000,10.687500,1080,97.479248,1.698711
1639127643,12.451172,-1.129837,0.000000,0.000000,0.000000,0.000000,-1.172161,4.140625,43.760685,0.687500,0.205444,2.062500,0.154687,1.875000,0.223975,2821.875000,2497.312500,10.875000,1066,97.465515,1.685360
1639128589,12.409973,-1.161880,0.000000,0.000122,0.000122,0.000000,-1.172161,4.140625,44.542126,0.687500,0.203833,2.062500,0.157104,1.875000,0.219946,2821.875000,2497.125000,10.687500,1073,97.483826,1.672009
1639129535,12.379456,-1.044388,0.000000,0.000000,0.000000,0.000000,-1.172161,4.140625,43.760685,0.812500,0.206250,2.000000,0.151465,1.875000,0.216724,2822.062500,2497.125000,10.875000,1062,97.467041,1.655987
1639130637,12.406921,-1.012344,0.000000,0.000000,0.000000,0.000000,-1.172161,4.140625,43.760685,0.812500,0.204639,2.000000,0.155493,1.875000,0.219141,2822.437500,2497.312500,10.687500,1071,97.488403,1.655987
1639131583,12.382507,-0.980301,0.000000,0.000122,0.000000,0.000000,-0.781441,4.140625,44.542126,0.750000,0.202222,2.000000,0.155493,1.875000,0.218335,2822.250000,2497.312500,10.875000,1072,97.471619,1.672009
1639132529,12.310791,-0.902863,0.000000,0.000000,0.000000,0.000000,-1.172161,4.140625,43.760685,0.812500,0.200610,2.000000,0.157104,1.875000,0.217529,2822.437500,2497.125000,10.687500,1065,97.467041,1.655987
1639133475,12.402344,-0.793381,0.000122,0.000610,0.000122,0.000000,-0.781441,4.140625,44.542126,0.687500,0.199805,2.000000,0.154687,1.875000,0.215918,2822.437500,2497.125000,10.875000,1068,97.494507,1.642635
1639134659,12.327576,-0.563736,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,43.760685,0.687500,0.201416,2.000000,0.157910,1.875000,0.211890,2822.625000,2497.125000,10.875000,1064,97.525024,1.642635
1639135605,12.385559,-0.785370,0.000000,0.000000,0.000000,0.000000,-1.172161,4.140625,43.760685,0.750000,0.202222,2.000000,0.157910,1.875000,0.215918,2822.437500,2497.125000,10.875000,1070,97.502136,1.672009
1639136551,12.469482,-0.657196,0.000000,0.000122,0.000000,0.000000,-1.172161,4.140625,43.760685,0.687500,0.201416,2.000000,0.151465,1.875000,0.215918,2822.625000,2497.125000,10.875000,1066,97.503662,1.642635
1639137497,12.374878,-0.793381,0.000000,0.000366,0.000122,0.000000,-0.781441,4.140625,43.760685,0.750000,0.199805,1.937500,0.155493,1.875000,0.211890,2822.625000,2497.312500,10.687500,1063,97.467041,1.655987
1639138599,12.399292,-0.657196,0.000000,0.000000,0.000000,0.000000,-0.781441,4.121094,43.760685,0.812500,0.196582,2.000000,0.157910,1.875000,0.207861,2823.000000,2497.500000,10.687500,1058,97.512817,1.642635
1639139545,12.446594,-0.657196,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,43.760685,0.750000,0.191748,2.000000,0.158716,1.812500,0.207056,2822.812500,2497.312500,10.687500,1057,97.494507,1.642635
1639140491,12.336731,-0.657196,0.000000,0.000122,0.000122,0.000000,-1.172161,4.140625,44.542126,0.750000,0.193359,2.000000,0.149854,1.812500,0.205444,2823.000000,2497.125000,10.687500,1048,97.531128,1.629284
1639141437,12.409973,-0.595779,0.000000,0.000000,0.000000,0.000000,-1.172161,4.140625,43.760685,0.687500,0.197388,2.000000,0.157104,1.812500,0.207861,2823.000000,2497.312500,10.687500,1051,97.502136,1.629284
