DeviceID = e00fce68e5bd8b129dc5e774	Firmware Version = 2.0.1	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,DS18.0,SoilMoisture.0,DS18.1,SoilMoisture.1,DS18.2,SoilMoisture.2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE
1639111750,12.239075,0.232010,0.000000,0.000000,0.000000,0.000000,-0.781441,4.121094,75.018318,0.000000,1.463892,0.687500,0.182886,0.812500,1.638721,2824.687500,2499.750000,12.187500,1215,95.240784,0.344852
1639111336,12.321472,0.232010,0.000000,0.000000,0.000000,0.000000,-1.172161,4.121094,85.177048,-0.062500,0.522876,0.687500,0.186914,0.812500,1.642749,2827.312500,2499.750000,12.187500,1217,94.999695,0.430305
1639112403,12.141418,0.357513,0.000000,0.000000,0.000000,0.000000,-1.172161,4.160156,54.700855,0.000000,0.346436,0.687500,0.190137,0.812500,1.643555,2824.875000,2499.937500,12.187500,1219,95.785522,0.259403
1639113349,12.159729,0.109177,0.000000,0.000000,0.000000,0.000000,-0.781441,4.101562,55.482296,0.000000,0.302124,0.750000,0.190137,0.875000,1.647583,2825.062500,2499.750000,12.187500,1225,95.803833,0.259403
1639114295,12.078857,0.034409,0.000000,0.000000,0.000000,0.019531,-1.172161,4.140625,54.700855,0.000000,0.283594,0.750000,0.186108,0.812500,1.649194,2826.000000,2499.937500,12.187500,1216,95.812988,0.259403
1639115436,12.211609,0.109177,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,54.700855,0.000000,0.269897,0.750000,0.190942,0.875000,1.643555,2826.562500,2499.750000,12.375000,1235,95.828247,0.243382
1639116382,12.179565,-0.075073,0.000000,0.000000,0.000000,0.000000,-1.172161,4.140625,53.919415,0.000000,0.263452,0.750000,0.191748,0.812500,1.632275,2826.375000,2499.937500,12.187500,1233,95.823669,0.230030
1639117328,12.284851,-0.027008,0.000122,0.000366,0.000122,0.000000,-1.172161,4.140625,55.482296,0.000000,0.257812,0.750000,0.186108,0.875000,1.649194,2824.687500,2499.750000,12.187500,1224,95.828247,0.243382
1639118274,12.310791,-0.152512,0.000000,0.000000,0.000000,0.000000,-1.172161,4.140625,54.700855,0.000000,0.255396,0.750000,0.186108,0.812500,1.646777,2825.625000,2499.937500,12.187500,1231,95.845032,0.272755
1639119413,12.129211,-0.120468,0.000000,0.000000,0.000000,0.000000,-1.172161,4.121094,54.700855,0.000000,0.251367,0.750000,0.188525,0.812500,1.637109,2825.062500,2499.937500,12.187500,1238,95.814514,0.230030
1639120359,12.121582,-0.088425,0.000000,0.000000,0.000000,0.000000,-1.172161,4.121094,54.700855,0.000000,0.244922,0.750000,0.189331,0.812500,1.644360,2826.187500,2499.750000,12.187500,1231,95.828247,0.243382
1639121305,12.275696,-0.136490,0.000000,0.000000,0.000000,0.000000,-1.172161,4.140625,54.700855,0.000000,0.244116,0.687500,0.186914,0.812500,1.639526,2825.250000,2499.750000,12.187500,1242,95.823669,0.230030
1639122251,12.245178,-0.027008,0.000000,0.000244,0.000122,0.000000,-1.172161,4.121094,54.700855,0.000000,0.236060,0.750000,0.186914,0.812500,1.620996,2825.812500,2499.750000,12.187500,1226,95.822144,0.259403
1639123353,12.303162,-0.027008,0.000000,0.000000,0.000000,0.000000,-1.172161,4.121094,54.700855,0.000000,0.234448,0.750000,0.188525,0.812500,1.620190,2824.875000,2499.750000,12.375000,1239,95.845032,0.243382
1639124299,12.190247,-0.027008,0.000000,0.000000,0.000000,0.000000,-1.172161,4.121094,54.700855,0.000000,0.240088,0.750000,0.185303,0.812500,1.628247,2826.000000,2499.937500,12.187500,1247,95.841980,0.259403
1639125245,12.185669,-0.027008,0.000000,0.000000,0.000000,0.000000,-0.781441,4.121094,54.700855,0.000000,0.235254,0.750000,0.187720,0.812500,1.622607,2824.687500,2499.750000,12.187500,1244,95.812988,0.259403
1639126191,12.263489,-0.136490,0.000000,0.000000,0.000000,0.000000,-1.172161,4.121094,54.700855,0.000000,0.230420,0.750000,0.186108,0.875000,1.637109,2825.062500,2499.750000,12.187500,1234,95.854187,0.272755
1639127294,12.242126,0.109177,0.000000,0.000000,0.000000,0.000000,-1.172161,4.121094,54.700855,0.000000,0.230420,0.750000,0.186914,0.812500,1.643555,2826.187500,2499.937500,12.375000,1236,95.841980,0.259403
1639128240,12.181091,-0.144501,0.000000,0.000000,0.000000,0.000000,-0.781441,4.121094,54.700855,0.000000,0.228809,0.750000,0.183691,0.812500,1.645972,2824.500000,2499.750000,12.187500,1232,95.812988,0.259403
1639129186,12.145996,-0.152512,0.000000,0.000000,0.000000,0.000000,-1.172161,4.121094,54.700855,0.000000,0.232837,0.750000,0.186914,0.812500,1.647583,2826.000000,2499.937500,12.187500,1236,95.841980,0.259403
1639130132,12.196350,-0.270004,0.000000,0.000000,0.000000,0.000000,-1.172161,4.121094,54.700855,0.000000,0.228003,0.687500,0.190942,0.812500,1.639526,2825.250000,2499.750000,12.187500,1230,95.841980,0.259403
1639131235,12.234497,-0.403519,0.000000,0.000000,0.000000,0.000000,-1.172161,4.121094,54.700855,0.000000,0.230420,0.750000,0.190137,0.812500,1.645166,2824.500000,2499.937500,12.187500,1235,95.881653,0.272755
1639132181,12.216187,-0.144501,0.000000,0.000000,0.000000,0.000000,-0.781441,4.121094,54.700855,0.000000,0.223975,0.750000,0.187720,0.812500,1.639526,2824.312500,2499.750000,12.375000,1237,95.874023,0.272755
1639133127,12.240601,-0.342102,0.000000,0.000000,0.000000,0.000000,-1.172161,4.121094,54.700855,0.000000,0.225586,0.750000,0.181274,0.875000,1.637915,2824.125000,2499.750000,12.187500,1233,95.841980,0.259403
1639134073,12.297058,-0.278015,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,54.700855,0.000000,0.220752,0.750000,0.181274,0.812500,1.641138,2824.312500,2499.750000,12.187500,1236,95.872498,0.299458
1639135175,12.152100,-0.427551,0.000000,0.000000,0.000000,0.000000,-1.172161,4.121094,54.700855,0.000000,0.218335,0.750000,0.186108,0.875000,1.641943,2824.687500,2499.937500,12.187500,1237,95.858765,0.286106
1639136121,12.301636,-0.459595,0.000000,0.000000,0.000000,0.019531,-1.172161,4.121094,54.700855,0.000000,0.221558,0.687500,0.180469,0.812500,1.645166,2825.250000,2499.750000,12.375000,1247,95.854187,0.272755
1639137067,12.249756,-0.590439,0.000000,0.000000,0.000000,0.000000,-0.781441,4.121094,54.700855,0.000000,0.215918,0.750000,0.184497,0.875000,1.646777,2823.937500,2500.125000,12.375000,1239,95.877075,0.286106
1639138013,12.196350,-1.041718,0.000000,0.000000,0.000000,0.000000,-1.172161,4.140625,54.700855,0.000000,0.219141,0.750000,0.176440,0.812500,1.644360,2825.062500,2500.125000,12.375000,1245,95.896912,0.286106
1639139121,12.345886,-1.434250,0.000000,0.000000,0.000000,0.000000,-1.172161,4.121094,54.700855,0.000000,0.218335,0.750000,0.184497,0.812500,1.643555,2824.875000,2499.937500,12.187500,1241,95.887756,0.259403
1639140067,12.336731,-1.682587,0.000000,0.000000,0.000000,0.000000,-0.781441,4.121094,54.700855,0.000000,0.215918,0.750000,0.183691,0.812500,1.645166,2823.187500,2499.937500,12.187500,1235,95.841980,0.259403
1639141013,12.307739,-1.904221,0.000122,0.000366,0.000122,0.078125,-0.781441,4.121094,54.700855,0.000000,0.215918,0.750000,0.178857,0.875000,1.640332,2823.187500,2499.937500,12.375000,1239,95.849609,0.286106
1639141959,12.460327,-2.099152,0.000366,0.000610,0.000732,0.800781,-0.781441,4.121094,54.700855,0.000000,0.211890,0.750000,0.178052,0.812500,1.644360,2822.812500,2499.750000,12.375000,1239,95.864868,0.272755
1639143067,12.484741,-2.163239,0.001953,0.002563,0.003296,2.558594,0.000000,4.121094,65.641029,0.000000,0.212695,0.750000,1.655640,0.812500,1.640332,2820.187500,2499.937500,12.187500,1242,95.874023,0.272755
1639144013,12.397766,-2.216644,0.005615,0.006470,0.007690,4.296875,0.781441,4.121094,54.700855,0.062500,0.214307,0.750000,0.357715,0.875000,1.640332,2822.062500,2500.125000,12.375000,1252,95.860291,0.259403
1639144959,12.382507,-2.216644,0.010498,0.011230,0.012695,5.039062,1.953602,4.121094,54.700855,0.000000,0.212695,0.750000,0.302930,0.875000,1.643555,2823.187500,2499.937500,12.375000,1251,95.841980,0.259403
1639145905,12.365723,-2.147217,0.018555,0.018921,0.020508,5.429688,3.125763,4.121094,43.760685,0.000000,0.215918,0.750000,0.278760,0.812500,0.357715,2827.687500,2500.125000,12.375000,1251,95.837402,0.243382
1639147007,12.261963,-1.872177,0.007141,0.007202,0.007690,5.664062,4.688645,4.140625,35.946278,0.062500,0.219141,0.750000,0.265869,0.812500,0.299707,2826.562500,2499.562500,12.375000,1244,95.950317,0.243382
1639147952,12.023926,-1.658554,0.009521,0.009521,0.010101,5.781250,6.642247,4.160156,35.164837,0.000000,0.214307,0.750000,0.262646,0.875000,0.279565,2830.125000,2499.937500,12.375000,1251,95.936584,0.230030
1639148896,12.133789,-1.148529,0.011627,0.011566,0.012177,5.839844,8.595848,4.140625,35.164837,0.000000,0.215918,0.750000,0.250562,0.812500,0.266675,2830.687500,2499.750000,12.375000,1251,95.960999,0.216679
1639149840,12.054443,-0.958939,0.012695,0.012634,0.013245,5.878906,10.549450,4.121094,35.164837,0.000000,0.216724,0.750000,0.248950,0.812500,0.259424,2830.875000,2499.562500,12.375000,1242,95.936584,0.230030
1639150921,12.071228,-0.659866,0.014587,0.014465,0.015106,5.957031,14.847375,4.140625,35.164837,0.000000,0.219141,0.750000,0.253784,0.812500,0.258618,2830.875000,2499.750000,12.375000,1232,95.968628,0.243382
1639151865,11.965942,-0.176544,0.019287,0.019012,0.019714,6.054687,23.443224,4.140625,35.164837,-0.062500,0.216724,0.750000,0.244116,0.875000,0.250562,2831.812500,2499.750000,12.375000,1232,95.945740,0.230030
1639152809,11.880493,0.109177,0.019470,0.019287,0.020081,5.625000,110.183151,4.179688,35.164837,0.000000,0.223169,0.750000,0.239282,0.812500,0.248145,2832.375000,2499.750000,12.375000,1251,95.979309,0.243382
1639153753,12.011719,0.381546,0.020935,0.020752,0.021637,6.035156,91.428574,4.179688,35.164837,0.000000,0.222363,0.750000,0.237671,0.812500,0.246533,2832.375000,2499.562500,12.375000,1245,95.942688,0.216679
1639154854,11.915588,0.664597,0.022003,0.021729,0.022583,6.074218,80.488396,4.179688,35.164837,0.000000,0.224780,0.812500,0.237671,0.875000,0.247339,2832.375000,2499.750000,12.187500,1236,95.993042,0.230030
1639155798,11.846924,0.862198,0.025330,0.024963,0.025909,6.132812,73.455437,4.179688,35.164837,0.000000,0.223975,0.750000,0.232031,0.875000,0.242505,2832.937500,2499.937500,12.375000,1227,95.954895,0.259403
1639156742,11.798096,1.118546,0.028137,0.027649,0.028564,6.132812,68.376068,4.179688,34.383392,0.000000,0.223975,0.750000,0.237671,0.875000,0.240088,2833.125000,2499.750000,12.375000,1235,95.956421,0.230030
1639157686,11.862183,1.385574,0.025757,0.025421,0.026367,6.171875,62.905983,4.179688,35.164837,0.000000,0.222363,0.750000,0.234448,0.875000,0.236865,2833.500000,2499.562500,12.187500,1229,95.945740,0.230030
1639158788,11.787415,1.369553,0.026031,0.025604,0.026459,6.113281,59.780220,4.179688,35.164837,0.062500,0.223975,0.750000,0.228809,0.875000,0.239282,2832.937500,2499.750000,12.375000,1217,95.973206,0.216679
1639159732,11.735535,1.300125,0.021057,0.020996,0.021973,6.074218,56.654457,4.179688,34.383392,0.000000,0.222363,0.750000,0.225586,0.812500,0.229614,2833.125000,2499.937500,12.375000,1232,95.983887,0.230030
1639160676,11.837769,1.238708,0.022888,0.022614,0.023499,6.093750,55.091576,4.179688,34.383392,0.000000,0.218335,0.750000,0.225586,0.812500,0.230420,2833.312500,2499.750000,12.375000,1227,95.950317,0.243382
1639161620,11.874390,1.364212,0.021515,0.021240,0.022034,6.054687,51.965813,4.179688,35.164837,0.000000,0.222363,0.750000,0.221558,0.875000,0.228809,2833.312500,2499.937500,12.375000,1219,95.988464,0.243382
1639162749,11.868286,1.142578,0.017273,0.017151,0.017883,5.917969,51.575092,4.179688,35.164837,0.000000,0.217529,0.750000,0.215112,0.812500,0.232031,2833.125000,2499.750000,12.375000,1221,95.988464,0.243382
1639163693,11.781311,1.078491,0.016296,0.016144,0.016846,5.800781,51.184372,4.179688,35.164837,0.000000,0.215112,0.750000,0.220752,0.750000,0.226392,2833.125000,2499.937500,12.375000,1226,95.983887,0.259403
1639164637,11.943054,1.001053,0.015045,0.014893,0.015533,5.781250,48.840050,4.179688,34.383392,0.000000,0.218335,0.812500,0.218335,0.875000,0.227197,2832.562500,2499.750000,12.375000,1212,95.973206,0.259403
1639165581,11.964417,0.870209,0.013214,0.013123,0.013733,5.683594,49.230770,4.160156,34.383392,0.062500,0.216724,0.750000,0.215112,0.812500,0.226392,2832.562500,2499.750000,12.375000,1234,95.973206,0.259403
