DeviceID = e00fce683d1ce7e541f9698f	Firmware Version = 2.0.1	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,DS18.0,SoilMoisture.0,DS18.1,SoilMoisture.1,DS18.2,SoilMoisture.2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE
1639111873,13.560486,-1.185913,0.000000,0.000000,0.000000,0.000000,-1.172161,4.140625,78.144081,-1.187500,1.149683,-1.375000,0.552686,-0.375000,0.232031,2840.625000,2499.375000,12.187500,1213,90.110779,-1.121155
1639111680,13.623047,-1.177902,0.000000,0.000000,0.000000,0.000000,-1.172161,4.140625,65.641029,-1.125000,0.516431,-1.312500,0.478564,-0.437500,0.235254,2843.437500,2499.187500,12.187500,1200,89.875793,-1.065079
1639112746,13.449097,-1.928253,0.000000,0.000000,0.000000,0.000000,-1.172161,4.160156,57.826618,-1.312500,0.319043,-1.375000,0.303735,-0.375000,0.618750,2841.000000,2499.375000,12.187500,1188,90.637207,-1.262684
1639113692,13.581848,-1.864166,0.000000,0.000000,0.000000,0.000000,-1.172161,4.160156,46.105007,-1.375000,0.277148,-1.437500,0.280371,-0.437500,0.348047,2843.062500,2499.375000,12.187500,1190,90.614319,-1.305408
1639114638,13.719177,-2.318115,0.000000,0.000000,0.000000,0.000000,-1.172161,4.160156,46.105007,-1.562500,0.255396,-1.562500,0.227197,-0.437500,0.285205,2843.437500,2499.187500,12.187500,1197,90.562439,-1.390862
1639115740,13.687134,-2.427597,0.000000,0.000000,0.000000,0.000000,-1.172161,4.160156,57.826618,-1.687500,1.119873,-1.562500,0.230420,-0.437500,0.236060,2842.125000,2499.562500,12.375000,1189,90.557861,-1.446938
1639116686,13.641357,-2.801437,0.000000,0.000000,0.000000,0.000000,-1.172161,4.160156,46.886448,-1.812500,0.337573,-1.687500,0.218335,-0.437500,0.228809,2844.000000,2499.375000,12.187500,1183,90.463257,-1.529716
1639117632,13.719177,-3.116531,0.000000,0.000000,0.000000,0.000000,-1.172161,4.160156,57.826618,-2.062500,1.093286,-1.812500,0.192554,-0.500000,0.225586,2843.062500,2499.375000,12.187500,1171,90.412903,-1.601814
1639118578,13.725281,-3.551788,0.000000,0.000000,0.000000,0.000000,-1.172161,4.160156,57.045181,-2.187500,1.095703,-1.875000,0.177246,-0.500000,0.215918,2843.062500,2499.375000,12.187500,1167,90.390015,-1.713970
1639119701,13.713074,-4.061813,0.000000,0.000000,0.000000,0.000000,-1.172161,4.160156,67.203911,-2.375000,1.086035,-2.000000,0.512402,-0.562500,0.190942,2841.937500,2499.375000,12.187500,1166,90.330505,-1.839474
1639120647,13.690186,-4.430313,0.000000,0.000000,0.000000,0.000000,-1.172161,4.160156,57.045181,-2.625000,1.087646,-2.125000,0.306958,-0.625000,0.193359,2843.812500,2499.187500,12.187500,1158,90.278625,-1.981003
1639121593,13.769531,-5.060501,0.000000,0.000000,0.000000,0.000000,-0.781441,4.160156,67.203911,-2.750000,1.069922,-2.250000,0.512402,-0.687500,0.184497,2842.875000,2499.375000,12.187500,1150,90.229797,-2.093155
1639122539,13.719177,-5.188675,0.000000,0.000000,0.000000,0.000000,-1.172161,4.160156,67.985352,-3.000000,1.047363,-2.375000,0.497900,-0.625000,0.174023,2843.812500,2499.562500,12.187500,1148,90.145874,-2.250706
1639123621,13.652039,-5.533142,0.000000,0.000000,0.000000,0.000000,-1.172161,4.140625,67.203911,-3.125000,1.064282,-2.500000,0.500317,-0.750000,0.157104,2844.750000,2499.562500,12.187500,1139,90.145874,-2.405586
1639124567,13.768005,-5.688019,0.000000,0.000000,0.000000,0.000000,-1.172161,4.140625,67.985352,-3.312500,1.054614,-2.562500,0.488232,-0.750000,0.155493,2845.500000,2499.562500,12.187500,1123,90.092468,-2.531090
1639125513,13.845825,-5.696030,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,67.203911,-3.375000,1.048975,-2.750000,0.480981,-0.812500,0.148242,2846.812500,2499.562500,12.187500,1118,90.065002,-2.643246
1639126459,13.713074,-5.311508,0.000000,0.000000,0.000000,0.000000,-0.781441,4.160156,67.203911,-3.375000,1.033667,-2.812500,0.481787,-0.875000,0.147437,2847.937500,2499.750000,12.187500,1116,90.119934,-2.742046
1639127561,13.642883,-4.302139,0.000000,0.000000,0.000000,0.000000,-1.172161,4.160156,67.203911,-3.250000,1.046558,-2.875000,0.500317,-0.875000,0.136963,2849.437500,2499.562500,12.187500,1094,90.188599,-2.811474
1639128507,13.476562,-3.992386,0.000000,0.000000,0.000000,0.000000,-1.172161,4.140625,58.608059,-3.250000,1.039307,-2.875000,0.310986,-1.000000,0.149048,2851.312500,2499.562500,12.187500,1101,90.252686,-2.811474
1639129453,13.444519,-3.810806,0.000000,0.000000,0.000000,0.000000,-1.562882,4.160156,57.045181,-3.187500,1.057837,-2.937500,0.265869,-1.000000,0.153882,2851.500000,2499.562500,12.187500,1092,90.283203,-2.798122
