DeviceID = e00fce6844eb3e18a15dc07f	Firmware Version = 2.0.1	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,DS18.0,SoilMoisture.0,DS18.1,SoilMoisture.1,DS18.2,SoilMoisture.2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE
1651867405,21.330261,64.524536,0.015640,0.014771,0.015274,6.210937,44.542126,4.199219,52.356533,20.375000,1.864307,15.125000,1.508203,11.250000,1.494507,1557.562500,2497.500000,12.375000,1992,96.138000,17.440300
1651867561,21.295166,64.260178,0.015640,0.014893,0.015503,6.093750,96.117218,4.179688,116.434677,20.375000,1.855444,15.187500,1.497729,11.250000,1.494507,1558.875000,2497.500000,12.562500,2003,95.634460,17.597847
1651868626,22.001648,62.922363,0.014374,0.013214,0.013596,6.191406,45.714287,4.199219,52.356533,20.375000,1.852222,15.375000,1.492090,11.500000,1.489673,1563.937500,2497.500000,12.562500,2039,96.133423,17.667278
1651869570,22.268677,61.437683,0.012573,0.011856,0.011810,6.191406,45.714287,4.199219,53.137974,20.125000,1.861084,15.562500,1.493701,11.687500,1.495312,1567.687500,2497.312500,12.562500,2030,96.249390,17.795452
1651870514,22.828674,60.591202,0.011719,0.011871,0.011795,6.171875,45.323566,4.199219,53.137974,20.062500,1.848999,15.687500,1.498535,11.875000,1.505786,1570.125000,2497.500000,12.375000,2054,96.437073,17.878235
1651871596,24.082947,58.850174,0.009186,0.010162,0.010040,6.152343,45.323566,4.199219,53.137974,19.937500,1.844971,15.750000,1.498535,12.062500,1.493701,1572.375000,2497.500000,12.375000,2066,96.572876,17.963684
1651872540,24.450684,56.788712,0.205536,0.217224,0.230103,6.132812,46.105007,4.199219,51.575092,19.125000,1.855444,15.875000,1.495312,12.187500,1.501758,1574.437500,2497.500000,12.375000,2058,96.638489,18.049133
1651873485,25.508118,55.162506,0.150543,0.173584,0.186096,6.132812,44.932846,4.179688,51.575092,18.687500,1.847388,15.937500,1.494507,12.312500,1.488062,1575.562500,2497.687500,12.375000,2064,96.844482,18.075836
1651874432,26.519775,52.193146,0.150574,0.172760,0.183136,0.000000,0.000000,0.000000,0.000000,18.250000,1.847388,15.937500,1.503369,12.437500,1.488062,1575.937500,2497.687500,12.375000,2026,96.820068,18.147938
1651875519,27.239990,50.930099,0.151031,0.169952,0.179474,0.000000,0.000000,0.000000,0.000000,18.000000,1.846582,15.937500,1.495312,12.562500,1.493701,1575.187500,2497.500000,12.375000,2018,97.242737,18.006409
1651876469,28.620911,47.426682,0.003220,0.003372,0.003387,0.000000,0.000000,0.000000,0.000000,17.625000,1.841748,15.875000,1.493701,12.687500,1.489673,1573.687500,2497.500000,12.375000,2019,97.497559,17.907608
