DeviceID = e00fce6813794773754ac5b9	Firmware Version = 2.0.1	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,DS18.0,SoilMoisture.0,DS18.1,SoilMoisture.1,DS18.2,SoilMoisture.2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE
1643650471,24.911499,12.691574,0.191772,0.170349,0.168274,6.191406,26.568987,3.632812,64.859581,-1.750000,1.105371,-1.750000,1.132764,-1.812500,0.153882,2849.062500,2497.312500,11.437500,2652,96.705627,-1.599144
1643650772,25.204468,12.825089,0.230469,0.204315,0.201141,6.035156,44.932846,3.613281,87.521370,-1.750000,0.468896,-1.687500,0.447144,-1.750000,0.154687,2856.375000,2497.312500,11.437500,2662,96.421814,-1.516365
1643652016,25.041199,13.076096,0.183624,0.163971,0.161774,6.210937,20.708181,3.632812,41.416363,-1.687500,0.308569,-1.562500,0.310181,-1.562500,0.158716,2853.375000,2497.312500,11.437500,2712,96.604919,-1.444267
1643653260,25.482178,12.192230,0.191986,0.169678,0.166931,6.210937,21.098900,3.632812,42.197800,-1.687500,0.263452,-1.437500,0.264258,-1.500000,0.161133,2851.500000,2497.312500,11.437500,2999,96.583557,-1.345463
1643654504,24.971008,12.448578,0.202576,0.180969,0.178040,6.171875,28.131868,3.671875,42.197800,-1.562500,0.254590,-1.437500,0.240088,-1.437500,0.165161,2851.687500,2497.312500,11.437500,3231,96.549988,-1.262684
1643655748,25.056458,12.915878,0.186401,0.165466,0.162689,6.191406,20.317461,3.632812,42.197800,-1.562500,0.247339,-1.312500,0.233643,-1.312500,0.163550,2851.687500,2497.125000,11.437500,3255,96.546936,-1.203938
1643656992,25.639343,12.072067,0.163910,0.146667,0.145416,6.171875,17.191696,3.632812,42.197800,-1.500000,0.236865,-1.187500,0.223169,-1.250000,0.161938,2849.812500,2497.500000,11.437500,3354,96.537781,-1.131840
1643658236,26.666260,10.293655,0.155090,0.140167,0.138855,6.171875,14.847375,3.632812,42.197800,-1.437500,0.221558,-1.187500,0.208667,-1.250000,0.158716,2847.375000,2497.312500,11.437500,3585,96.514893,-1.075760
1643659480,26.675415,9.957199,0.143433,0.126617,0.124817,6.113281,12.112332,3.632812,42.197800,-1.437500,0.223169,-1.125000,0.207056,-1.187500,0.160327,2846.625000,2497.125000,11.437500,3751,96.533203,-1.049057
1643660724,29.000854,6.624680,0.089081,0.079285,0.078400,5.957031,7.032967,3.632812,42.197800,-1.312500,0.215918,-1.125000,0.199805,-1.312500,0.158716,2842.312500,2497.312500,11.437500,3913,96.551514,-1.049057
1643661968,29.643250,5.305557,0.075226,0.067261,0.066650,5.898438,6.251526,3.632812,42.197800,-1.312500,0.213501,-1.125000,0.192554,-1.375000,0.155493,2840.812500,2497.500000,11.437500,4072,96.620178,-1.075760
1643663212,30.242920,4.301529,0.060242,0.053864,0.053772,5.800781,5.079365,3.613281,42.197800,-1.312500,0.213501,-1.187500,0.193359,-1.437500,0.157910,2840.250000,2497.500000,11.437500,4200,96.661377,-1.105133
1643664456,30.891418,3.059845,0.044342,0.039917,0.040192,5.644531,3.907204,3.632812,42.197800,-1.312500,0.209473,-1.187500,0.186914,-1.500000,0.153076,2838.937500,2497.500000,11.250000,4260,96.659851,-1.147861
1643665700,32.473755,1.065140,0.015533,0.015656,0.017181,5.000000,1.562882,3.632812,42.197800,-1.250000,0.203027,-1.250000,0.181274,-1.625000,0.151465,2835.750000,2497.687500,11.437500,4333,96.661377,-1.203938
1643666944,32.876587,0.557785,0.018555,0.017090,0.017853,5.136719,1.953602,3.574219,42.979244,-1.250000,0.202222,-1.375000,0.182080,-1.687500,0.149854,2836.687500,2497.500000,11.437500,4416,96.711731,-1.302738
1643668188,33.033752,-0.000305,0.010895,0.010132,0.010864,4.726562,1.172161,3.613281,42.979244,-1.250000,0.198193,-1.437500,0.176440,-1.750000,0.145020,2837.250000,2497.687500,11.437500,4460,96.751404,-1.332111
1643669432,33.540344,-0.820084,0.009644,0.010742,0.013062,3.125000,0.390720,3.613281,75.018318,-1.250000,1.107788,-1.500000,1.147266,-1.875000,0.137769,2825.625000,2497.875000,11.437500,4491,96.746826,-1.417564
1643670677,33.813477,-1.250000,0.000977,0.001099,0.001343,0.800781,-0.781441,3.574219,75.799759,-1.250000,1.115039,-1.562500,1.138403,-2.000000,0.127295,2831.812500,2497.500000,11.437500,4527,96.693420,-1.473640
1643671923,33.992004,-1.562424,0.000122,0.000122,0.000122,0.000000,-1.172161,3.613281,75.799759,-1.312500,1.110205,-1.625000,1.144849,-2.000000,0.119238,2831.812500,2497.687500,11.437500,4588,96.696472,-1.529716
1643673169,34.059143,-2.251358,0.000000,0.000122,0.000000,0.000000,-1.172161,3.613281,75.799759,-1.375000,1.104565,-1.750000,1.144043,-2.250000,0.118433,2831.250000,2497.875000,11.437500,4601,96.670532,-1.612495
1643674415,34.494019,-3.135223,0.000000,0.000000,0.000000,0.000000,-1.172161,3.613281,75.799759,-1.375000,1.106982,-1.875000,1.144849,-2.500000,0.114404,2830.875000,2497.875000,11.437500,4623,96.710205,-1.767376
1643675661,34.611511,-3.447647,0.000122,0.000122,0.000122,0.000000,-1.172161,3.613281,75.799759,-1.437500,1.108594,-2.062500,1.142432,-2.750000,0.108765,2831.625000,2497.687500,11.437500,4642,96.780396,-1.922256
1643676907,34.355164,-3.447647,0.000122,0.000122,0.000122,0.000000,-1.172161,3.613281,75.799759,-1.500000,1.098926,-2.250000,1.137598,-2.937500,0.103931,2832.750000,2498.062500,11.437500,4658,96.858215,-2.063782
1643678153,34.373474,-3.565140,0.000000,0.000122,0.000000,0.000000,-1.172161,3.613281,75.799759,-1.500000,1.101343,-2.375000,1.133569,-3.187500,0.103125,2833.125000,2497.875000,11.250000,4644,96.862793,-2.221333
1643679399,34.207153,-3.938980,0.000000,0.000122,0.000000,0.000000,-1.172161,3.613281,75.799759,-1.625000,1.094897,-2.625000,1.135181,-3.437500,0.097485,2834.062500,2497.875000,11.437500,4624,96.908569,-2.389565
1643680645,34.324646,-4.144592,0.000122,0.000122,0.000000,0.000000,-1.172161,3.593750,75.018318,-1.687500,1.094897,-2.812500,1.135181,-3.625000,0.090234,2834.812500,2498.062500,11.250000,4640,96.963501,-2.600517
1643681891,34.078979,-4.067154,0.000000,0.000122,0.000000,0.000000,-1.172161,3.593750,75.799759,-1.812500,1.092480,-2.937500,1.127124,-3.750000,0.091846,2836.125000,2497.875000,11.250000,4621,97.021484,-2.755398
1643683137,33.944702,-4.181976,0.000000,0.000122,0.000000,0.000000,-1.172161,3.593750,75.018318,-1.937500,1.094092,-3.125000,1.139209,-3.812500,0.088623,2837.062500,2497.875000,11.437500,4603,97.050476,-2.854198
1643684383,34.025574,-4.222031,0.000000,0.000122,0.000000,0.000000,-1.172161,3.593750,75.799759,-2.062500,1.095703,-3.125000,1.137598,-3.875000,0.083789,2837.250000,2497.875000,11.250000,4567,96.981812,-2.936981
1643685629,34.106445,-4.432983,0.000122,0.000122,0.000000,0.000000,-1.172161,3.593750,75.799759,-2.125000,1.089258,-3.312500,1.127930,-4.125000,0.078955,2837.812500,2497.875000,11.437500,4559,96.963501,-3.078506
1643686875,34.130859,-4.697342,0.000122,0.000122,0.000122,0.000000,-1.172161,3.593750,75.799759,-2.187500,1.086035,-3.500000,1.127124,-4.250000,0.074927,2838.937500,2497.875000,11.250000,4568,97.032166,-3.220036
