DeviceID = e00fce688c30491f7bf87fb2	Firmware Version = 2.0.1	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,DS18.0,SoilMoisture.0,DS18.1,SoilMoisture.1,DS18.2,SoilMoisture.2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE
1647694293,12.170410,15.949326,0.205719,0.144348,0.145660,5.722656,80.879120,3.554688,67.203911,0.562500,0.012891,0.125000,1.546875,1.500000,0.960352,2836.500000,2497.500000,11.625000,1641,93.035889,0.910965
1639426162,12.095642,16.200333,0.177368,0.128967,0.131561,3.691406,234.822952,3.593750,90.647133,0.562500,1.521094,0.125000,1.533179,1.562500,0.418945,2837.625000,2497.312500,11.625000,1650,92.774963,1.009766
1639427663,12.132263,16.315155,0.177429,0.129395,0.132446,3.730469,241.465195,3.632812,64.859581,0.562500,1.524316,0.125000,1.538013,1.562500,0.366577,2837.625000,2497.312500,11.625000,1642,92.494202,1.081863
1639431878,12.156677,16.347198,0.176331,0.128815,0.132324,3.750000,242.637360,3.652344,40.634922,0.562500,0.644531,0.125000,0.630029,1.562500,0.373022,2842.312500,2497.500000,11.625000,1656,91.818237,1.279469
1639436093,12.168884,16.376572,0.174988,0.128174,0.131714,3.750000,244.200241,3.652344,40.634922,0.562500,0.584106,0.187500,0.567187,1.562500,0.373828,2842.687500,2497.687500,11.812500,1646,91.171265,1.420998
1639470200,12.126160,16.566162,0.144989,0.111328,0.114594,3.750000,255.140427,3.652344,64.859581,0.562500,1.526733,0.187500,1.538013,1.625000,0.315015,2837.812500,2497.500000,11.625000,1641,92.243958,1.167316
1639474415,12.103271,16.683655,0.141266,0.109406,0.112640,3.769531,256.312592,3.613281,40.634922,0.562500,0.643726,0.187500,0.629224,1.625000,0.320654,2842.687500,2497.500000,11.812500,1664,91.532898,1.364918
1639478629,12.164307,16.627579,0.138519,0.108124,0.111603,3.769531,258.266174,3.652344,40.634922,0.562500,0.579272,0.187500,0.568799,1.625000,0.325488,2842.687500,2497.312500,11.625000,1635,90.943909,1.519798
1639482845,12.167358,16.761093,0.136505,0.107086,0.110718,3.769531,259.047638,3.652344,40.634922,0.562500,0.551074,0.187500,0.534961,1.687500,0.323877,2843.062500,2497.500000,11.625000,1656,90.420532,1.618599
1639428354,12.184143,16.950684,0.125610,0.101532,0.105316,3.769531,267.643494,3.652344,64.078148,0.562500,1.529150,0.125000,1.533179,1.687500,0.294067,2838.375000,2497.500000,11.812500,1632,91.679382,1.364918
1639432571,12.022400,16.849213,0.124420,0.100952,0.104614,3.789062,269.206360,3.652344,40.634922,0.562500,0.646143,0.187500,0.630835,1.687500,0.297290,2842.875000,2497.500000,11.812500,1640,91.065979,1.506447
1639436791,12.043762,17.073517,0.123566,0.100403,0.104126,3.789062,270.378540,3.671875,40.634922,0.562500,0.582495,0.187500,0.567187,1.750000,0.299707,2842.875000,2497.312500,11.625000,1625,90.438843,1.645306
1639441005,12.013245,17.073517,0.123840,0.100494,0.104065,3.789062,271.941406,3.671875,40.634922,0.562500,0.554297,0.187500,0.534961,1.687500,0.297290,2843.062500,2497.500000,11.625000,1643,89.999390,1.773479
1639468895,11.885071,17.572861,0.162750,0.117981,0.125092,3.789062,281.318695,3.671875,63.296707,0.562500,1.528345,0.187500,1.538818,1.750000,0.271509,2838.750000,2497.687500,11.812500,1640,91.555786,1.378273
1639473109,11.943054,17.572861,0.202423,0.139709,0.148712,3.789062,282.490845,3.671875,40.634922,0.562500,0.642114,0.187500,0.631641,1.750000,0.276343,2843.250000,2497.500000,11.812500,1649,90.910339,1.575874
1639477325,11.874390,17.693024,0.275940,0.184814,0.194885,3.789062,284.053741,3.671875,40.634922,0.562500,0.578467,0.125000,0.563965,1.750000,0.282788,2843.250000,2497.500000,11.625000,1635,90.306091,1.701382
1639481539,11.853027,17.823868,0.350006,0.233765,0.242920,3.789062,285.616608,3.671875,40.634922,0.562500,0.554297,0.187500,0.536572,1.750000,0.281982,2843.625000,2497.500000,11.812500,1641,89.927673,1.786831
1639429135,11.581421,18.544846,0.007538,0.004868,0.004913,0.000000,0.000000,0.000000,0.000000,0.562500,1.527539,0.187500,1.546875,1.812500,0.258618,2838.937500,2497.500000,11.812500,1631,91.326904,1.434349
1639433350,11.640930,18.574219,0.007507,0.004822,0.004868,0.000000,0.000000,0.000000,0.000000,0.562500,0.646948,0.187500,0.629224,1.812500,0.264258,2843.250000,2497.500000,11.625000,1604,90.699768,1.618599
1639437563,11.413574,18.822556,0.007584,0.004883,0.004944,0.000000,0.000000,0.000000,0.000000,0.625000,0.582495,0.187500,0.567187,1.875000,0.265869,2843.437500,2497.500000,11.812500,1634,90.151978,1.773479
1639441778,11.584473,19.012146,0.007675,0.004959,0.004990,0.000000,0.000000,0.000000,0.000000,0.625000,0.551074,0.187500,0.535767,1.875000,0.267480,2843.625000,2497.500000,11.812500,1632,89.781189,1.856258
1639429185,11.308289,19.575577,0.007019,0.004517,0.004593,0.000000,0.000000,0.000000,0.000000,0.562500,1.529956,0.125000,1.539624,1.875000,0.250562,2838.937500,2497.687500,11.625000,1620,91.217041,1.519798
1639433400,11.236572,19.575577,0.006927,0.004471,0.004532,0.000000,0.000000,0.000000,0.000000,0.562500,0.644531,0.187500,0.629224,1.875000,0.250562,2843.250000,2497.125000,11.812500,1649,90.658569,1.645306
1639437613,11.326599,19.698410,0.006775,0.004364,0.004425,0.000000,0.000000,0.000000,0.000000,0.562500,0.580884,0.187500,0.563159,1.937500,0.251367,2843.625000,2497.312500,11.812500,1623,90.072632,1.813534
1639441827,11.215210,19.628983,0.006546,0.004211,0.004257,0.000000,0.000000,0.000000,0.000000,0.562500,0.555103,0.187500,0.538184,1.937500,0.254590,2843.625000,2497.312500,11.812500,1619,89.683533,1.898987
1639429878,11.079407,20.074921,0.006241,0.004028,0.004105,0.000000,0.000000,0.000000,0.000000,0.625000,1.529150,0.187500,1.536401,1.937500,0.237671,2839.125000,2497.500000,11.625000,1621,91.108704,1.519798
1639434093,11.135864,19.949417,0.444885,0.291107,0.296173,3.828125,318.827850,3.691406,39.853481,0.562500,0.646143,0.187500,0.631641,2.000000,0.241699,2843.625000,2497.500000,11.812500,1612,90.493774,1.717403
1639438309,11.296082,20.096283,0.426910,0.281494,0.285614,3.828125,320.390717,3.691406,39.853481,0.562500,0.584106,0.187500,0.564771,1.937500,0.244116,2843.812500,2497.500000,11.812500,1626,89.971924,1.813534
1639442524,11.184692,20.074921,0.402252,0.267487,0.270935,3.828125,321.562897,3.691406,39.853481,0.625000,0.549463,0.187500,0.534155,1.937500,0.244922,2843.625000,2497.500000,11.625000,1638,89.591980,1.931030
