DeviceID = e00fce687038a71d446ef776	Firmware Version = 2.2.0	Software Version = 0.0.0
ParticleTime.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,DS18.0,SoilMoisture.0,DS18.1,SoilMoisture.1,DS18.2,SoilMoisture.2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE
946685108,29.048157,-10.358353,0.000000,0.000000,0.000000,0.000000,-1.172161,3.339844,168.009766,err.772,1.348682,err.772,0.411694,-1.187500,1.131152,2811.375000,2497.500000,10.875000,3299,98.092651,-1.500343
946685107,29.077148,-10.547943,0.000000,0.000000,0.000000,0.000000,-1.172161,3.320312,147.692307,err.772,1.346265,-2.812500,0.414111,err.772,1.131152,2809.687500,2497.500000,10.875000,3315,98.060608,-1.470970
946685107,29.063416,-10.523911,0.000000,0.000000,0.000000,0.000000,-1.172161,3.339844,175.824173,-4.375000,1.350293,-2.812500,0.413306,-1.187500,1.124707,2809.500000,2497.500000,10.875000,3320,98.025513,-1.513695
946685108,29.158020,-10.547943,0.000000,0.000000,0.000000,0.000000,-1.172161,3.339844,146.910873,-4.437500,1.350293,-2.812500,0.410889,err.772,1.129541,2811.187500,2497.500000,10.875000,3299,98.046875,-1.513695
946685108,29.118347,-10.547943,0.000000,0.000122,0.000000,0.000000,-1.172161,3.359375,148.473755,-4.437500,1.356738,-2.875000,0.416528,-1.187500,1.127930,2809.500000,2497.500000,10.875000,3322,97.982788,-1.513695
946685108,29.072571,-10.745544,0.000000,0.000000,0.000000,0.000000,-1.172161,3.339844,181.294266,-4.437500,1.351099,-2.937500,0.410889,-1.187500,1.125513,2809.125000,2497.500000,10.875000,3314,98.001099,-1.527046
946685108,29.025269,-10.830994,0.000000,0.000000,0.000000,0.000000,-0.781441,3.339844,147.692307,-4.500000,1.344653,-2.937500,0.418140,-1.187500,1.126318,2809.125000,2497.500000,10.875000,3318,97.988892,-1.569771
946685108,29.011536,-10.745544,0.000000,0.000000,0.000000,0.000000,-1.172161,3.339844,146.910873,err.772,1.347070,err.772,0.411694,-1.187500,1.128735,2810.625000,2497.500000,10.875000,3285,98.025513,-1.585793
946685108,29.072571,-10.681458,0.000000,0.000000,0.000000,0.000000,-1.172161,3.339844,147.692307,-4.562500,1.345459,-2.937500,0.410889,err.772,1.128735,2809.125000,2497.687500,10.875000,3323,97.998047,-1.569771
946685108,28.994751,-10.863037,0.000000,0.000000,0.000000,0.000000,-0.781441,3.359375,147.692307,-4.562500,1.347070,-3.000000,0.416528,-1.250000,1.131152,2809.125000,2497.687500,10.875000,3327,97.937012,-1.599144
