NODE_ID,log_date,ParticleTime.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,DS18.0,SoilMoisture.0,DS18.1,SoilMoisture.1,DS18.2,SoilMoisture.2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE
e00fce687038a71d446ef776,2025-03-14,1642617184,45.195007,9.893112,0.022949,0.023682,0.023712,0.351562,-1.172161,3.496094,-820.512817,0.062500,1.505786,0.000000,1.276978,0.187500,1.504980,2780.625000,2497.125000,10.875000,1431,98.336792,0.270084
e00fce687038a71d446ef776,2025-03-14,1642617334,45.263672,9.837036,0.032135,0.032043,0.032623,0.312500,-1.172161,3.554688,-886.935303,0.062500,1.507397,0.125000,1.272949,0.125000,1.519482,2780.812500,2497.312500,10.875000,1423,97.763062,0.387581
e00fce687038a71d446ef776,2025-03-14,1642618399,35.627747,11.818390,0.115753,0.110657,0.115204,0.312500,-0.781441,3.710938,-767.374878,0.125000,1.510620,0.125000,1.267310,0.187500,1.521094,2783.250000,2497.125000,10.875000,1445,98.309326,0.286106
e00fce687038a71d446ef776,2025-05-03,946685107,54.479980,3.735428,0.116638,0.115814,0.118317,0.312500,-1.172161,3.691406,-868.962158,-0.812500,1.504175,err.772,1.359155,err.772,1.595215,2787.000000,2497.312500,10.875000,1503,98.609924,0.256733
e00fce687038a71d446ef776,2025-05-03,946685134,52.529907,3.799515,0.125305,0.123718,0.125641,0.117188,-2.344322,3.671875,-863.492065,-0.812500,1.484839,err.772,1.349487,err.772,1.583935,2778.000000,2497.312500,10.875000,1570,97.636414,0.513084
e00fce687038a71d446ef776,2025-05-05,946685106,32.986450,15.487366,0.180328,0.182526,0.185333,0.312500,-0.781441,3.808594,-841.611755,err.772,1.323706,0.187500,1.361572,0.187500,1.599243,2799.562500,2497.125000,11.062500,1510,98.588562,0.256733
e00fce687038a71d446ef776,2025-05-05,946685134,33.338928,15.391235,0.180450,0.182617,0.185455,0.117188,-0.781441,3.828125,-843.174622,err.772,1.347070,0.187500,1.352710,25.000000,1.591187,2800.125000,2496.937500,10.875000,1564,97.932434,0.427635
e00fce687038a71d446ef776,2025-05-06,946685106,33.261108,16.429977,0.124451,0.128601,0.135559,0.312500,-1.172161,3.867188,-815.824219,err.772,1.327734,0.125000,1.363184,err.772,1.604883,2803.875000,2496.937500,10.875000,1521,98.628235,0.243382
e00fce687038a71d446ef776,2025-05-06,946685133,33.262634,16.494064,0.127014,0.130920,0.137817,0.117188,-1.172161,3.867188,-820.512817,err.772,1.347876,err.772,1.284228,err.772,1.556543,2805.000000,2496.937500,10.875000,1545,97.663879,0.499733
e00fce687038a71d446ef776,2025-05-07,946685106,39.889526,7.257538,0.023499,0.032288,0.043091,0.312500,-1.172161,3.906250,-786.129395,0.000000,1.524316,0.125000,1.356738,err.772,1.583935,2793.937500,2497.125000,10.875000,1495,98.574829,0.243382
e00fce687038a71d446ef776,2025-05-07,946685134,39.859009,7.305603,0.024048,0.032837,0.043610,0.078125,-2.344322,3.906250,-784.566589,err.772,1.352710,err.772,1.333374,err.772,1.576685,2793.750000,2497.125000,10.875000,1569,97.654724,0.499733
e00fce687038a71d446ef776,2025-05-08,946685106,43.177795,6.787567,0.019104,0.026978,0.036530,0.312500,-1.172161,3.925781,-718.144104,25.000000,1.534790,err.772,1.355127,err.772,1.582324,2796.187500,2497.312500,10.875000,1513,98.600769,0.256733
e00fce687038a71d446ef776,2025-05-08,946685134,42.303467,6.803589,0.019043,0.026855,0.036377,0.078125,-1.172161,3.906250,-716.581238,0.062500,1.521094,err.772,1.336597,err.772,1.558960,2797.125000,2497.125000,10.875000,1581,97.630310,0.526436
e00fce687038a71d446ef776,2025-05-09,946685106,53.022766,3.537827,0.023926,0.031525,0.040833,0.312500,-1.172161,3.652344,91.428574,0.062500,1.520288,err.772,1.318066,err.772,1.550098,2810.625000,2497.125000,10.875000,1520,98.529053,0.270084
e00fce687038a71d446ef776,2025-05-09,946685135,52.276611,3.671341,0.024109,0.031616,0.040894,0.078125,-0.781441,3.632812,89.865692,err.772,1.426831,0.125000,1.312427,err.772,1.529956,2822.437500,2497.125000,10.875000,1560,97.872925,0.443657
e00fce687038a71d446ef776,2025-05-10,946685106,38.252258,0.328140,0.016968,0.019806,0.023529,0.312500,-1.172161,3.632812,92.991455,0.000000,1.528345,0.062500,1.322095,err.772,1.538818,2818.125000,2497.125000,10.875000,1523,98.570251,0.270084
e00fce687038a71d446ef776,2025-05-10,946685134,38.107300,0.296097,0.016632,0.019440,0.023102,0.000000,-0.781441,3.613281,90.647133,0.000000,1.514648,0.125000,1.308398,err.772,1.535596,2818.687500,2496.937500,10.875000,1572,97.911072,0.427635
e00fce687038a71d446ef776,2025-05-12,946685107,36.741638,-4.641266,0.000000,0.000000,0.000000,0.312500,-0.781441,3.593750,138.315018,err.772,1.533984,err.772,1.321289,0.187500,1.539624,2811.750000,2497.125000,10.875000,1545,98.495483,0.299458
e00fce687038a71d446ef776,2025-05-12,946685138,36.759949,-4.507751,0.000000,0.000000,0.000000,0.078125,-0.781441,3.593750,165.665451,err.772,1.515454,err.772,1.305981,err.772,1.532373,2811.937500,2497.312500,10.875000,1590,97.869873,0.470360
e00fce687038a71d446ef776,2025-05-13,946685107,34.973145,-5.757446,0.000000,0.000000,0.000000,0.312500,-0.781441,3.593750,136.752136,-0.312500,1.511426,err.772,1.314844,err.772,1.542847,2811.375000,2497.312500,10.875000,1550,98.570251,0.270084
e00fce687038a71d446ef776,2025-05-13,946685137,34.939575,-5.709381,0.000000,0.000000,0.000000,0.078125,-1.172161,3.632812,98.461540,err.772,1.496924,0.125000,1.308398,0.187500,1.533179,2811.000000,2497.125000,10.875000,1578,97.869873,0.470360
