DeviceID = e00fce6857f0346b44cd699d	Firmware Version = 2.0.1	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,DS18.0,SoilMoisture.0,DS18.1,SoilMoisture.1,DS18.2,SoilMoisture.2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE
1639109043,13.290405,-1.792068,0.000000,0.000000,0.000000,0.000000,-0.781441,4.082031,125.811966,0.125000,1.960181,0.812500,2.006909,1.062500,1.750708,2815.875000,2497.687500,12.375000,1844,89.799500,1.081863
1639109080,13.339233,-1.792068,0.000000,0.000000,0.000000,0.000000,-0.781441,4.082031,86.739929,0.125000,1.971460,0.750000,2.010937,1.062500,1.752319,2815.875000,2497.500000,12.187500,1826,89.447021,1.169987
1639110146,13.368225,-1.703949,0.000000,0.000000,0.000000,0.000000,-1.172161,4.082031,78.925522,0.125000,1.971460,0.812500,2.008520,1.125000,1.754736,2814.937500,2497.687500,12.187500,1841,90.238953,0.999084
1639111092,13.450623,-1.509018,0.000000,0.000000,0.000000,0.019531,-0.781441,4.082031,77.362640,0.125000,1.973071,0.750000,2.001270,1.062500,1.756348,2815.125000,2497.500000,12.187500,1827,90.237427,0.985733
1639112038,13.230896,-1.509018,0.000000,0.000000,0.000000,0.000000,-0.781441,4.082031,78.144081,0.187500,1.968237,0.812500,2.001270,1.062500,1.754736,2814.937500,2497.687500,12.375000,1826,90.283203,1.012436
1639113126,13.310242,-1.509018,0.000000,0.000000,0.000000,0.000000,-0.781441,4.082031,77.362640,0.187500,1.965820,0.875000,2.003686,1.062500,1.749902,2815.125000,2497.500000,12.187500,1819,90.229797,0.999084
1639114072,13.334656,-1.380844,0.000000,0.000000,0.000000,0.000000,-0.781441,4.082031,78.144081,0.187500,1.961792,0.812500,2.010132,1.062500,1.751514,2815.312500,2497.500000,12.187500,1795,90.269470,0.999084
1639115018,13.383484,-1.319427,0.000000,0.000000,0.000000,0.000000,-0.781441,4.082031,77.362640,0.187500,1.960986,0.812500,2.005298,1.125000,1.755542,2814.937500,2497.500000,12.187500,1807,90.264893,1.012436
1639115964,13.380432,-1.327438,0.000000,0.000000,0.000000,0.000000,-0.781441,4.082031,77.362640,0.187500,1.965820,0.812500,2.008520,1.125000,1.753125,2815.312500,2497.687500,12.375000,1787,90.274048,1.012436
1639117065,13.424683,-1.319427,0.000000,0.000000,0.000000,0.000000,-0.781441,4.082031,77.362640,0.250000,1.965015,0.812500,2.009326,1.062500,1.757153,2815.312500,2497.500000,12.187500,1758,90.315247,1.025787
1639118011,13.450623,-1.287384,0.000000,0.000000,0.000000,0.000000,-0.781441,4.082031,78.144081,0.250000,1.962598,0.875000,2.004492,1.125000,1.753125,2815.125000,2497.500000,12.187500,1792,90.251160,1.041809
1639118957,13.404846,-1.250000,0.000000,0.000000,0.000000,0.000000,-0.781441,4.082031,77.362640,0.312500,1.967432,0.875000,2.003686,1.062500,1.752319,2815.312500,2497.312500,12.187500,1790,90.274048,1.055161
1639119903,13.354492,-1.140518,0.000000,0.000000,0.000000,0.000000,-0.781441,4.082031,77.362640,0.312500,1.972266,0.875000,2.008520,1.125000,1.751514,2815.500000,2497.312500,12.187500,1774,90.287781,1.068512
1639120991,13.455200,-1.124496,0.000000,0.000000,0.000000,0.000000,-0.781441,4.082031,78.144081,0.250000,1.972266,0.875000,2.000464,1.062500,1.754736,2815.312500,2497.500000,12.187500,1787,90.298462,1.041809
1639121937,13.435364,-1.004333,0.000000,0.000000,0.000000,0.000000,-0.781441,4.082031,77.362640,0.312500,1.967432,0.875000,2.008520,1.125000,1.752319,2815.312500,2497.312500,12.187500,1773,90.312195,1.055161
1639122883,13.537598,-1.071091,0.000000,0.000000,0.000000,0.000000,-0.781441,4.101562,77.362640,0.312500,1.964209,0.875000,2.002075,1.125000,1.753125,2815.312500,2497.687500,12.187500,1774,90.287781,1.068512
