DeviceID = e00fce6848a6a48956efa89d	Firmware Version = 2.0.1	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,DS18.0,SoilMoisture.0,DS18.1,SoilMoisture.1,DS18.2,SoilMoisture.2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE
1639112730,11.872864,-2.424927,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,71.892555,-0.125000,0.247339,0.125000,1.163379,-0.187500,1.387354,2834.812500,2497.687500,11.625000,3370,87.687683,0.275425
1639112630,11.976624,-2.363510,0.000000,0.000000,0.000000,0.000000,-0.781441,4.160156,82.051285,-0.125000,0.238477,0.125000,1.165796,-0.187500,0.480981,2836.500000,2497.687500,11.812500,3374,87.371826,0.328831
1639113696,11.801147,-2.630539,0.000000,0.000000,0.000000,0.000000,-0.781441,4.160156,62.515266,-0.187500,2.203491,0.062500,1.160962,-0.250000,0.334351,2834.250000,2497.687500,11.812500,3397,88.069153,0.064468
1639114642,11.860657,-3.119202,0.000000,0.000000,0.000000,0.000000,-0.781441,4.160156,52.356533,-0.250000,0.356104,0.062500,1.156128,-0.187500,0.283594,2835.562500,2497.687500,11.812500,3424,88.104248,0.008392
1639115588,11.898804,-3.362198,0.000000,0.000122,0.000000,0.000000,-0.781441,4.160156,61.733822,-0.375000,2.172876,0.062500,1.154517,-0.187500,0.258618,2833.312500,2497.687500,11.625000,3446,88.127136,-0.087738
1639116696,11.727905,-3.247375,0.000000,0.000000,0.000000,0.000000,-0.781441,4.160156,62.515266,-0.437500,0.325488,0.000000,1.164185,-0.125000,1.386548,2834.062500,2497.687500,11.812500,3431,88.160706,-0.173191
1639117642,11.721802,-3.557129,0.000000,0.000000,0.000000,0.000000,-0.781441,4.160156,62.515266,-0.500000,2.142261,0.062500,1.160156,-0.187500,0.368994,2833.687500,2497.687500,11.812500,3437,88.179016,-0.213245
1639118588,11.956787,-3.837509,0.000000,0.000000,0.000000,0.000000,-0.781441,4.160156,51.575092,-0.562500,0.340796,0.062500,1.164185,-0.187500,0.283594,2835.187500,2497.687500,11.625000,3435,88.186646,-0.298695
1639119534,11.863708,-3.874893,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,62.515266,-0.625000,0.279565,0.062500,1.161768,-0.125000,1.392993,2833.687500,2497.687500,11.625000,3434,88.172913,-0.394829
1639120642,11.926270,-4.117889,0.000000,0.000000,0.000000,0.000000,-0.781441,4.160156,62.515266,-0.750000,0.257007,0.000000,1.156934,-0.187500,1.384131,2833.687500,2497.875000,11.812500,3411,88.191223,-0.469597
