DeviceID = e00fce68c014249653ebc049	Firmware Version = 2.0.1	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,DS18.0,SoilMoisture.0,DS18.1,SoilMoisture.1,DS18.2,SoilMoisture.2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE
978307200,14.956665,55.392151,0.015640,0.015640,0.015640,5.898438,46.495728,4.179688,53.137974,16.750000,1.505786,7.687500,1.533984,6.000000,1.629053,1649.625000,2499.562500,0.562500,40000,97.009277,15.304035
1647980559,18.455505,60.265427,0.013351,0.013809,0.013580,5.859375,58.217339,4.160156,73.455437,16.875000,1.515454,7.687500,1.536401,6.000000,1.618579,1626.187500,2499.750000,0.562500,40000,97.067261,14.585716
1647981623,19.927979,72.094803,0.015335,0.015366,0.015457,5.839844,35.555557,4.160156,53.137974,17.750000,1.543652,8.000000,1.557349,5.937500,1.632275,1560.000000,2499.937500,0.562500,err.772,err.772,err.772
1647982575,20.912170,75.037460,0.014862,0.014694,0.015060,5.917969,33.992676,4.160156,53.919415,18.500000,1.553320,8.250000,1.566211,5.937500,1.634692,1546.125000,2499.937500,0.562500,err.772,err.772,err.772
1647983527,21.926880,75.659637,0.014496,0.014008,0.014023,5.898438,35.555557,4.160156,54.700855,19.000000,1.555737,8.500000,1.565405,5.937500,1.637109,1546.500000,2499.937500,0.562500,err.772,err.772,err.772
1647984779,27.835083,63.405685,0.004486,0.004745,0.004532,5.722656,46.886448,4.160156,53.919415,19.375000,1.548486,8.937500,1.572656,6.000000,1.636304,1553.625000,2499.750000,0.562500,err.772,err.772,err.772
1647985879,40.026855,40.104752,0.027771,0.032043,0.038757,5.253906,9.768010,4.160156,53.137974,18.125000,1.541235,9.312500,1.586352,6.062500,1.633081,1551.562500,2499.562500,0.562500,err.772,err.772,err.772
1647986832,43.157959,30.796127,0.025970,0.030396,0.036804,5.253906,8.205129,4.160156,53.919415,16.750000,1.529956,9.625000,1.596020,6.125000,1.633887,1540.500000,2499.375000,0.562500,err.772,err.772,err.772
1647987785,42.811584,26.179199,0.022217,0.026398,0.032806,5.214844,7.423687,4.160156,53.919415,15.687500,1.532373,9.812500,1.597632,6.187500,1.639526,1526.437500,2499.375000,0.562500,err.772,err.772,err.772
1647988738,42.102051,23.572998,0.021729,0.026031,0.032074,5.175781,6.251526,4.160156,53.919415,14.937500,1.533984,9.937500,1.607300,6.250000,1.641138,1512.562500,2499.187500,0.562500,err.772,err.772,err.772
1647989855,41.432190,21.658401,0.018555,0.022461,0.028351,5.097656,5.079365,4.160156,54.700855,14.250000,1.519482,10.000000,1.599243,6.375000,1.637109,1497.562500,2498.812500,0.562500,err.772,err.772,err.772
1647990808,41.273499,20.536880,0.017303,0.021057,0.026703,5.039062,4.297924,4.140625,53.919415,13.812500,1.517065,10.000000,1.606494,6.437500,1.644360,1486.312500,2499.000000,0.562500,err.772,err.772,err.772
1647991761,40.943909,19.572906,0.016144,0.019745,0.025116,5.019531,4.297924,4.160156,54.700855,13.437500,1.509814,10.000000,1.615356,6.562500,1.644360,1476.562500,2499.375000,0.562500,err.772,err.772,err.772
1647992714,40.728760,19.025497,0.015015,0.018494,0.023560,4.980469,3.907204,4.160156,54.700855,13.125000,1.513037,9.937500,1.622607,6.625000,1.647583,1467.562500,2499.000000,0.562500,err.772,err.772,err.772
1647993822,40.637207,18.403320,0.013550,0.016907,0.021698,4.960938,3.516484,4.160156,54.700855,12.812500,1.513037,9.937500,1.620996,6.687500,1.650000,1458.937500,2499.000000,0.562500,err.772,err.772,err.772
1647994775,40.698242,17.901306,0.012329,0.015564,0.020050,4.882812,2.735043,4.160156,54.700855,12.625000,1.513037,9.875000,1.621802,6.750000,1.645166,1452.000000,2499.187500,0.562500,err.772,err.772,err.772
1647995728,40.617371,17.329865,0.011292,0.014374,0.018524,4.824219,2.735043,4.160156,55.482296,12.375000,1.509009,9.812500,1.620190,6.812500,1.650806,1446.000000,2499.000000,0.562500,err.772,err.772,err.772
1647996681,40.757751,16.576843,0.009918,0.012848,0.016663,4.746094,2.344322,4.160156,54.700855,12.187500,1.509009,9.750000,1.617773,6.875000,1.652417,1440.187500,2499.000000,0.562500,err.772,err.772,err.772
1647997832,40.692139,15.986710,0.008331,0.010986,0.014282,4.589844,1.953602,4.160156,55.482296,11.937500,1.504980,9.687500,1.617773,6.937500,1.650000,1434.000000,2499.187500,0.562500,err.772,err.772,err.772
1647998966,40.820312,15.268402,0.006744,0.009033,0.011627,4.433594,1.562882,4.140625,54.700855,11.687500,1.506592,9.625000,1.630664,7.000000,1.652417,1428.000000,2499.000000,0.562500,err.772,err.772,err.772
1647999919,40.931702,14.389877,0.005463,0.007172,0.009033,4.277344,1.562882,4.160156,54.700855,11.437500,1.496924,9.500000,1.625024,7.000000,1.653223,1423.125000,2499.000000,0.562500,err.772,err.772,err.772
1648000872,41.107178,13.511353,0.016602,0.020142,0.024048,4.003906,1.172161,4.160156,62.515266,11.187500,1.506592,9.500000,1.633887,7.062500,1.651611,1418.062500,2499.000000,0.562500,err.772,err.772,err.772
1648001826,41.213989,12.640839,0.006592,0.007568,0.009155,2.890625,0.390720,4.160156,57.826618,10.937500,1.495312,9.375000,1.636304,7.062500,1.658057,1412.812500,2499.000000,0.562500,err.772,err.772,err.772
1648002936,41.177368,11.626129,0.000610,0.000610,0.000854,0.664062,-0.781441,4.160156,58.608059,10.625000,1.494507,9.312500,1.635498,7.125000,1.655640,1406.812500,2499.000000,0.562500,err.772,err.772,err.772
1648003890,41.152954,10.939865,0.000000,0.000000,0.000000,0.000000,-0.781441,4.140625,58.608059,10.312500,1.501758,9.250000,1.630664,7.125000,1.653223,1401.000000,2498.812500,0.562500,err.772,err.772,err.772
1648004844,41.101074,10.467224,0.000000,0.000000,0.000000,0.000000,-0.781441,4.160156,58.608059,10.000000,1.484839,9.187500,1.633887,7.125000,1.650806,1395.375000,2499.000000,0.562500,err.772,err.772,err.772
1648005798,40.882874,9.738235,0.000000,0.000000,0.000000,0.000000,-0.781441,4.160156,58.608059,9.750000,1.495312,9.125000,1.623413,7.187500,1.660474,1389.750000,2498.812500,0.562500,err.772,err.772,err.772
1648006909,40.856934,9.038620,0.000000,0.000000,0.000000,0.000000,-0.781441,4.160156,58.608059,9.500000,1.488867,9.000000,1.635498,7.187500,1.656445,1383.375000,2499.000000,0.562500,err.772,err.772,err.772
1648007863,40.760803,8.678131,0.000000,0.000000,0.000000,0.000000,-0.781441,4.160156,58.608059,9.250000,1.490479,8.937500,1.635498,7.187500,1.664502,1377.937500,2498.625000,0.562500,err.772,err.772,err.772
1648008817,40.618896,8.042603,0.000000,0.000000,0.000000,0.000000,-0.781441,4.160156,58.608059,9.000000,1.490479,8.875000,1.634692,7.187500,1.656445,1372.500000,2498.812500,0.562500,err.772,err.772,err.772
