DeviceID = e00fce68c014249653ebc049	Firmware Version = 2.0.1	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,DS18.0,SoilMoisture.0,DS18.1,SoilMoisture.1,DS18.2,SoilMoisture.2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE
1639109146,18.579102,-2.013702,0.000000,0.000000,0.000000,0.000000,-0.781441,3.886719,77.362640,0.562500,1.834497,-0.062500,1.380908,1.187500,1.793408,1097.437500,2498.625000,10.687500,5952,90.925598,0.929657
1639109235,18.681335,-2.061768,0.000000,0.000000,0.000000,0.000000,-0.781441,3.886719,76.581192,0.562500,1.828857,-0.062500,1.379297,1.187500,1.788574,1097.812500,2498.625000,10.687500,5935,90.612793,1.012436
1639110302,18.258667,-2.320786,0.000000,0.000000,0.000000,0.000000,-0.390720,3.886719,66.422470,0.562500,1.829663,-0.062500,1.388159,1.187500,1.791797,1097.437500,2498.437500,10.687500,5927,91.304016,0.817501
1639111248,18.182373,-2.689285,0.000000,0.000000,0.000000,0.000000,-0.781441,3.886719,67.203911,0.562500,1.808716,-0.062500,1.385742,1.187500,1.790186,1097.250000,2498.437500,10.687500,5916,91.300964,0.844204
1639112194,18.360901,-3.073807,0.000000,0.000000,0.000000,0.000000,-0.781441,3.886719,67.203911,0.562500,1.807910,-0.062500,1.380103,1.187500,1.792603,1097.250000,2498.437500,10.687500,5898,91.374207,0.830853
1639113309,18.399048,-2.948303,0.000000,0.000000,0.000000,0.000000,-0.390720,3.886719,67.203911,0.500000,1.801465,-0.062500,1.380908,1.187500,1.784546,1097.062500,2498.250000,10.687500,5934,91.365051,0.830853
1639114255,18.405151,-2.304764,0.000000,0.000000,0.000000,0.000000,-0.390720,3.886719,66.422470,0.500000,1.805493,-0.062500,1.379297,1.187500,1.793408,1097.250000,2498.625000,10.687500,5923,91.363525,0.817501
1639115201,18.418884,-1.944275,0.000000,0.000000,0.000000,0.000000,-0.781441,3.886719,67.203911,0.500000,1.803076,-0.062500,1.379297,1.187500,1.787768,1097.062500,2498.625000,10.687500,5921,91.323853,0.817501
1639116147,18.278503,-2.037735,0.000000,0.000000,0.000000,0.000000,-0.390720,3.886719,67.203911,0.500000,1.796631,-0.062500,1.384936,1.125000,1.787768,1097.062500,2498.625000,10.687500,5897,91.354370,0.830853
1639117251,18.251038,-2.320786,0.000000,0.000000,0.000000,0.000000,-0.781441,3.886719,67.203911,0.500000,1.790991,-0.062500,1.395410,1.125000,1.792603,1096.875000,2498.437500,10.687500,5962,91.383362,0.830853
1639118197,18.313599,-2.320786,0.000000,0.000000,0.000000,0.000000,-0.781441,3.886719,66.422470,0.500000,1.797436,-0.062500,1.382519,1.125000,1.789380,1097.062500,2498.437500,10.687500,5934,91.351318,0.817501
