DeviceID = e00fce6829163099f836ae78	Firmware Version = 2.0.1	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,DS18.0,SoilMoisture.0,DS18.1,SoilMoisture.1,DS18.2,SoilMoisture.2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE
1643885782,22.457886,-16.564102,0.000000,0.000000,0.000000,0.000000,0.000000,4.101562,125.030533,-11.750000,0.908789,-10.187500,1.020776,-7.375000,0.149048,724.875000,2498.812500,10.687500,556,93.782043,-10.499352
1643885952,22.639465,-16.313095,0.000000,0.000000,0.000000,0.000000,0.000000,4.082031,135.970703,-11.812500,0.912012,-10.125000,1.028027,-7.437500,0.143408,725.062500,2498.812500,10.687500,543,93.144226,-10.387199
1643887019,22.257996,-16.305084,0.000000,0.000000,0.000000,0.000000,0.000000,4.101562,125.811966,-11.875000,0.913623,-10.187500,1.017554,-7.500000,0.149048,722.062500,2498.625000,10.687500,546,93.635559,-10.582130
1643887965,22.232056,-16.313095,0.000000,0.000000,0.000000,0.000000,0.000000,4.101562,125.811966,-11.812500,0.907983,-10.250000,1.024805,-7.562500,0.140991,720.000000,2498.625000,10.687500,538,93.511963,-10.651562
1643888911,22.166443,-16.564102,0.000000,0.000000,0.000000,0.000000,0.000000,4.082031,126.593414,-11.937500,0.907178,-10.375000,1.019971,-7.625000,0.149854,717.937500,2498.625000,10.687500,559,93.429565,-10.737011
1643890147,22.250366,-16.564102,0.000000,0.000000,0.000000,0.000000,0.000000,4.082031,125.811966,-12.000000,0.907178,-10.437500,1.023193,-7.687500,0.148242,715.500000,2498.625000,10.687500,540,93.402100,-10.835812
1643891093,22.343445,-16.815109,0.000000,0.000000,0.000000,0.000000,0.000000,4.082031,125.811966,-12.062500,0.908789,-10.375000,1.005469,-7.750000,0.145825,714.000000,2498.625000,10.687500,546,93.301392,-10.875870
1643892039,22.248840,-16.628189,0.000000,0.000000,0.000000,0.000000,0.000000,4.082031,126.593414,-12.125000,0.911206,-10.562500,1.015942,-7.812500,0.147437,712.500000,2498.625000,10.687500,541,93.190002,-10.918594
1643892985,22.206116,-16.943283,0.000000,0.000000,0.000000,0.000000,0.000000,4.082031,125.811966,-12.187500,0.899121,-10.625000,1.011914,-7.875000,0.142603,711.000000,2498.437500,10.687500,542,93.164062,-10.977341
1643894067,22.242737,-16.823120,0.000000,0.000000,0.000000,0.058594,0.000000,4.082031,125.811966,-12.250000,0.905566,-10.687500,1.012720,-7.937500,0.148242,709.312500,2498.812500,10.687500,530,93.095398,-11.033417
