DeviceID = e00fce6838cebdf42fc24391	Firmware Version = 3.1.0	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,ApogeeO2.1.TEMPERATURE,ApogeeO2.1.REF,ApogeeO2.1.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE,Hedorah-NDIR.1.CO2,Hedorah-NDIR.1.HUMIDITY,Hedorah-NDIR.1.TEMPERATURE
1638252991,30.094910,22.347336,0.005249,0.004272,0.002686,0.312500,-0.781441,4.062500,59.389500,1701.375000,2498.437500,12.375000,1702.687500,2498.250000,12.187500,404,20.681763,21.934464,430,20.768738,22.153427
1638253177,29.859924,22.384720,0.002808,0.002441,0.001587,0.312500,-0.781441,4.062500,58.608059,1702.500000,2498.625000,12.375000,1703.250000,2498.250000,12.187500,409,20.631409,22.059967,433,20.710754,22.209503
1638254260,29.890442,22.440796,0.002808,0.002441,0.001465,0.273438,-0.781441,4.042969,142.222229,1699.875000,2498.625000,12.375000,1701.000000,2498.250000,12.187500,402,20.857239,21.723503,436,20.965576,21.929123
1638255222,29.817200,22.133713,0.002808,0.002441,0.001587,0.312500,-0.781441,4.062500,49.230770,1698.000000,2498.437500,12.375000,1698.937500,2498.250000,12.187500,395,20.896912,21.648735,432,20.944214,21.857025
1638256184,29.623413,22.133713,0.002808,0.002441,0.001587,0.312500,-0.781441,4.062500,50.012211,1696.687500,2498.437500,12.375000,1697.812500,2498.250000,12.187500,405,20.820618,21.622032,435,20.960999,21.830322
1638257281,29.782104,22.133713,0.002808,0.002441,0.001465,0.273438,-0.781441,4.023438,142.222229,1695.937500,2498.812500,12.375000,1697.062500,2498.437500,12.187500,399,20.907593,21.622032,432,20.988464,21.800949
1638258243,29.939270,22.000198,0.002930,0.002441,0.001587,0.351562,-0.781441,4.062500,50.012211,1695.750000,2498.437500,12.375000,1696.312500,2498.250000,12.187500,403,21.008301,21.606010,430,21.031189,21.800949
1638259205,30.102539,22.072296,0.002808,0.002441,0.001465,0.312500,-0.781441,4.062500,50.012211,1694.437500,2498.250000,12.375000,1695.375000,2498.062500,12.187500,403,21.017456,21.523232,430,21.025085,21.699471
1638260167,30.062866,21.866684,0.002808,0.002441,0.001465,0.312500,-0.390720,4.023438,50.012211,1693.125000,2498.625000,12.562500,1694.062500,2498.250000,12.187500,400,21.057129,21.451134,425,21.113586,21.656746
1638261370,29.641724,21.874695,0.002808,0.002441,0.001465,0.312500,-0.781441,4.042969,107.057388,1693.125000,2498.437500,12.375000,1693.500000,2498.437500,12.187500,406,21.029663,21.467155,427,21.086121,21.686119
