DeviceID = e00fce682c26b88b84ab26f2	Firmware Version = 3.1.0	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,ApogeeO2.1.TEMPERATURE,ApogeeO2.1.REF,ApogeeO2.1.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE,Hedorah-NDIR.1.CO2,Hedorah-NDIR.1.HUMIDITY,Hedorah-NDIR.1.TEMPERATURE
1638384119,42.770386,18.595581,0.168365,0.174988,0.180847,0.312500,-0.781441,3.945312,50.012211,1350.187500,2498.250000,11.437500,1438.125000,2497.875000,10.687500,563,32.254028,7.947281,478,29.479980,8.590828
1638384300,41.119385,19.543533,0.167633,0.171234,0.178162,0.312500,-0.781441,3.945312,50.793652,1353.562500,2498.250000,11.437500,1445.812500,2498.250000,10.687500,574,32.501221,8.088806,497,29.626465,8.772411
1638385381,34.376526,23.701172,0.113007,0.134277,0.140808,5.937500,196.141647,3.964844,164.102570,1232.812500,2498.062500,11.250000,1202.812500,2497.687500,10.500000,1632,34.709167,2.903030,1379,32.676697,3.212788
1638386342,31.884766,24.860077,0.087616,0.087097,0.089355,4.062500,309.059814,4.042969,39.072041,1188.937500,2498.062500,11.250000,1169.437500,2497.687500,10.312500,2731,35.852051,2.379646,2252,33.828735,2.975128
1638387303,18.882751,34.107285,0.003311,0.003479,0.003448,0.000000,0.000000,0.000000,0.000000,1175.437500,2498.062500,11.250000,1158.937500,2497.687500,10.312500,3685,36.741638,2.294193,2952,34.725952,3.268864
1638388398,20.190430,24.836044,0.186981,0.198975,0.200439,5.781250,81.660561,3.964844,133.626373,1175.250000,2498.250000,11.062500,1155.000000,2497.875000,10.312500,4602,37.686157,2.280842,3679,35.600281,3.709469
1638389359,18.904114,22.841339,0.207947,0.226013,0.221375,4.062500,261.782684,4.042969,38.290596,1179.000000,2498.062500,11.062500,1154.812500,2497.687500,10.125000,5193,38.449097,2.323566,4051,36.398315,3.904404
1638390320,18.879700,21.014862,0.174744,0.181763,0.180450,5.781250,65.641029,4.003906,39.072041,1182.562500,2497.875000,11.062500,1155.750000,2497.875000,10.125000,5725,39.151001,2.392998,4491,37.167358,4.072632
1638391281,18.072510,21.452789,0.158569,0.164734,0.164124,5.781250,68.376068,4.003906,39.853481,1185.750000,2498.250000,10.875000,1157.437500,2497.875000,10.125000,6157,39.891052,2.449074,4758,37.882996,4.187458
1638392375,17.669678,21.703796,0.123322,0.131531,0.131256,5.781250,45.323566,3.964844,180.512833,1188.750000,2498.062500,0.000000,1159.500000,2497.687500,10.125000,6589,40.693665,2.518501,5022,38.650513,4.315632
1638393336,18.319702,18.320541,0.128143,0.127991,0.127350,5.781250,40.634922,4.003906,39.072041,1191.562500,2498.062500,10.875000,1161.750000,2497.875000,10.125000,6881,41.310120,2.603951,5150,39.318848,4.414436
1638394297,18.728638,15.938644,0.064178,0.068420,0.070953,5.468750,17.191696,4.003906,40.634922,1193.812500,2498.250000,10.875000,1163.625000,2497.687500,10.125000,7195,41.911316,2.689404,5297,39.982605,4.457161
1638395258,19.392395,12.798386,0.039001,0.039948,0.042328,5.312500,7.814408,3.984375,40.634922,1195.687500,2497.687500,10.875000,1165.687500,2497.875000,10.125000,7462,42.486572,2.748150,5494,40.606689,4.483864
1638396371,19.598389,10.298996,0.014862,0.016418,0.018463,5.000000,3.125763,3.945312,152.380951,1196.250000,2496.562500,10.875000,1167.750000,2497.687500,10.125000,7677,43.164062,2.804226,5592,41.401672,4.427788
1638397332,18.809509,8.849030,0.006439,0.007324,0.008728,4.218750,1.172161,3.984375,40.634922,1196.062500,2497.875000,10.875000,1169.625000,2497.500000,10.125000,7856,43.669128,2.860302,5730,41.842651,4.385063
1638398293,18.618774,7.658081,0.005371,0.007080,0.009277,2.343750,-0.390720,3.984375,47.667889,1195.312500,2498.062500,10.875000,1170.750000,2497.687500,9.937500,8005,44.166565,2.916382,5814,42.349243,4.302280
1638399255,18.235779,6.592636,0.000366,0.000488,0.000732,0.468750,-0.781441,3.984375,47.667889,1194.375000,2498.062500,10.875000,1172.062500,2497.687500,10.125000,8158,44.662476,2.985809,5783,42.802429,4.256886
1638400352,17.982483,6.782227,0.000000,0.000000,0.000000,0.000000,-0.781441,3.964844,139.877899,1192.500000,2497.687500,10.875000,1172.625000,2497.687500,10.125000,8291,45.205688,3.028534,5887,43.408203,4.158085
