NODE_ID,log_date,Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,ApogeeO2.1.TEMPERATURE,ApogeeO2.1.REF,ApogeeO2.1.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE,Hedorah-NDIR.1.CO2,Hedorah-NDIR.1.HUMIDITY,Hedorah-NDIR.1.TEMPERATURE
e00fce682c26b88b84ab26f2,2001-01-01.1,978307200,27.180481,22.080307,0.034058,0.026733,0.021240,0.273438,-0.781441,3.984375,48.449329,1704.187500,2499.000000,11.437500,1703.812500,2498.625000,10.687500,567,18.278503,21.862366,512,18.165588,22.009232
e00fce682c26b88b84ab26f2,2001-01-01.1,978307500,26.583862,22.267227,0.019775,0.015625,0.012451,0.312500,-0.781441,3.984375,58.608059,1706.437500,2499.000000,11.437500,1705.875000,2498.625000,10.687500,566,18.241882,22.030594,492,18.177795,22.206833
e00fce682c26b88b84ab26f2,2001-01-01.1,978308462,26.239014,22.667770,0.016418,0.012939,0.010254,0.312500,-0.781441,3.945312,143.003677,1709.437500,2499.000000,11.437500,1708.500000,2498.437500,10.875000,565,18.305969,22.129395,483,18.247986,22.206833
e00fce682c26b88b84ab26f2,2001-01-01.1,978309424,26.133728,22.817307,0.031250,0.024780,0.019653,0.312500,-0.781441,3.984375,46.886448,1712.062500,2499.000000,11.437500,1711.687500,2498.625000,10.875000,556,18.325806,22.254906,510,18.284607,22.351036
e00fce682c26b88b84ab26f2,2001-01-01.1,978310561,26.702881,23.073654,0.004150,0.003296,0.002319,0.312500,-0.781441,3.945312,143.785110,1715.062500,2499.187500,11.437500,1714.500000,2498.625000,10.687500,538,18.470764,22.369728,505,18.370056,22.519264
e00fce682c26b88b84ab26f2,2001-01-01.1,978311523,26.495361,23.049622,0.024658,0.019775,0.015747,0.312500,-0.781441,3.984375,47.667889,1717.125000,2499.000000,11.437500,1716.937500,2498.437500,10.687500,566,18.475342,22.468529,528,18.431091,22.575340
e00fce682c26b88b84ab26f2,2001-01-01.1,978312485,26.638794,23.209839,0.014648,0.011597,0.009338,0.312500,-0.781441,3.984375,47.667889,1717.687500,2499.000000,11.437500,1716.937500,2498.437500,10.687500,541,18.534851,22.455177,502,18.475342,22.561989
e00fce682c26b88b84ab26f2,2001-01-01.1,978313447,26.916504,22.956161,0.025024,0.020020,0.015869,0.312500,-0.781441,3.984375,46.886448,1717.312500,2499.000000,11.437500,1716.750000,2498.437500,10.687500,550,18.658447,22.455177,518,18.562317,22.519264
e00fce682c26b88b84ab26f2,2001-01-01.1,978314562,27.294922,23.105698,0.011108,0.009155,0.007202,0.312500,-0.781441,3.945312,143.003677,1716.562500,2499.187500,11.250000,1715.625000,2498.437500,10.687500,552,18.731689,22.412453,504,18.695068,22.476540
e00fce682c26b88b84ab26f2,2001-01-01.1,978315524,27.339172,23.049622,0.017456,0.014526,0.011230,0.312500,-0.781441,3.984375,47.667889,1715.437500,2499.000000,11.250000,1715.062500,2498.437500,10.687500,552,18.911743,22.369728,513,18.763733,22.433815
e00fce682c26b88b84ab26f2,2001-01-01.1,978316486,27.830505,22.825317,0.007935,0.006836,0.005127,0.312500,-0.781441,3.984375,47.667889,1714.312500,2499.000000,11.437500,1714.125000,2498.437500,10.687500,549,18.983459,22.284279,501,18.925476,22.364388
e00fce682c26b88b84ab26f2,2001-01-01.1,978317448,28.111267,22.635727,0.011475,0.010132,0.007690,0.312500,-0.781441,3.984375,47.667889,1713.375000,2499.000000,11.437500,1712.812500,2498.437500,10.687500,553,19.088745,22.270927,506,19.042969,22.321663
e00fce682c26b88b84ab26f2,2001-01-01.1,978318565,28.433228,22.705154,0.008911,0.007446,0.005615,0.312500,-0.781441,3.945312,143.785110,1711.875000,2499.000000,11.437500,1711.500000,2498.437500,10.687500,569,19.239807,22.225525,473,19.113159,22.265587
e00fce682c26b88b84ab26f2,2001-01-01.1,978319527,28.584290,22.697144,0.016357,0.013306,0.010132,0.312500,-0.781441,3.984375,47.667889,1711.500000,2499.187500,11.437500,1711.500000,2498.625000,10.687500,556,19.418335,22.198822,478,19.291687,22.278938
e00fce682c26b88b84ab26f2,2001-01-01.1,978320489,28.924561,22.833328,0.008301,0.006836,0.005127,0.312500,-0.781441,3.984375,47.667889,1711.125000,2499.000000,11.437500,1710.750000,2498.625000,10.687500,552,19.552612,22.169449,508,19.451904,22.233536
