DeviceID = e00fce6856706b033b691f8b	Firmware Version = 3.1.0	Software Version = 0.0.0
Time.0.TIME,SHTC3.0.HUMIDITY,SHTC3.0.TEMPERATURE,TCS3400.0.LIGHT_RED,TCS3400.0.LIGHT_GREEN,TCS3400.0.LIGHT_BLUE,PAC1720.0.VOLTAGE,PAC1720.0.CURRENT,PAC1720.0.VOLTAGE_2,PAC1720.0.CURRENT_2,ApogeeO2.0.TEMPERATURE,ApogeeO2.0.REF,ApogeeO2.0.OXYGEN,ApogeeO2.1.TEMPERATURE,ApogeeO2.1.REF,ApogeeO2.1.OXYGEN,Hedorah-NDIR.0.CO2,Hedorah-NDIR.0.HUMIDITY,Hedorah-NDIR.0.TEMPERATURE,Hedorah-NDIR.1.CO2,Hedorah-NDIR.1.HUMIDITY,Hedorah-NDIR.1.TEMPERATURE
944008564,10.272217,35.276871,0.006149,0.006882,0.006729,0.000000,0.000000,0.000000,0.000000,1363.312500,2498.250000,12.937500,1324.875000,2499.000000,12.375000,4391,36.018372,7.714962,2554,37.135315,9.947357
1636487318,10.159302,35.127335,0.006180,0.006882,0.006668,0.000000,0.000000,0.000000,0.000000,1363.500000,2498.250000,12.937500,1325.062500,2499.000000,12.187500,4530,36.073303,7.912567,2625,37.268066,10.128941
1636488399,9.693909,32.900314,0.004944,0.005356,0.005127,0.000000,0.000000,0.000000,0.000000,1361.062500,2498.250000,12.750000,1324.875000,2499.187500,12.187500,5160,38.073730,7.827114,2928,39.530945,10.086212
1636489359,9.324646,31.116562,0.004715,0.005081,0.004913,0.000000,0.000000,0.000000,0.000000,1362.750000,2498.250000,12.750000,1327.312500,2499.000000,12.187500,5529,39.453125,7.912567,3098,41.206360,10.158314
1636490319,9.368896,29.124527,0.004959,0.004959,0.004776,0.000000,0.000000,0.000000,0.000000,1364.625000,2498.250000,12.750000,1330.125000,2499.000000,12.187500,5802,40.661621,8.038071,3222,42.550659,10.214390
1636491414,9.466553,26.173859,0.149780,0.162079,0.161011,0.312500,-1.562882,3.574219,107.838829,1366.125000,2498.250000,12.750000,1333.312500,2498.812500,12.187500,6002,41.957092,8.150227,3275,43.946838,10.158314
1636492375,9.652710,24.358063,0.196747,0.189423,0.186157,0.312500,-1.172161,3.613281,42.979244,1365.937500,2498.437500,12.750000,1335.937500,2499.000000,12.187500,6176,42.907715,8.208973,3328,44.995117,10.072861
1636493336,9.608459,22.998886,0.283386,0.244232,0.236786,0.312500,-1.172161,3.613281,42.979244,1364.812500,2498.437500,12.750000,1338.187500,2498.625000,12.187500,6247,43.814087,8.307774,3333,46.029663,9.947357
1636494297,9.869385,20.587616,0.231750,0.196625,0.190155,0.312500,-1.172161,3.613281,43.760685,1362.750000,2498.437500,12.750000,1339.500000,2498.437500,12.187500,6360,44.697571,8.363850,3326,46.954346,9.819180
1636495410,10.243225,17.447357,0.162384,0.136169,0.130554,0.312500,-1.172161,3.574219,175.824173,1359.375000,2498.437500,12.750000,1340.437500,2498.812500,12.187500,6448,45.632935,8.406578,3337,47.961426,9.565498
1636496371,10.527039,13.607483,0.024902,0.029236,0.031708,0.312500,-1.562882,3.613281,42.979244,1355.250000,2498.250000,12.750000,1341.000000,2498.437500,12.187500,6473,46.374512,8.462654,3309,48.757935,9.354542
1636497332,10.661316,8.582001,0.007996,0.010620,0.012695,0.312500,-1.172161,3.613281,42.979244,1350.000000,2498.250000,12.750000,1340.437500,2498.625000,12.187500,6486,47.084045,8.446632,3268,49.494934,9.018082
1636498293,11.343384,5.500488,0.012085,0.014282,0.016968,0.312500,-1.172161,3.613281,50.793652,1343.062500,2498.250000,12.750000,1339.500000,2498.437500,12.187500,6566,47.761536,8.446632,3255,50.141907,8.652248
1636499428,12.060547,3.497772,0.000488,0.000610,0.000854,0.292969,-1.172161,3.574219,152.380951,1333.875000,2498.250000,12.750000,1337.062500,2498.625000,12.187500,6545,48.471069,8.419930,3178,50.932312,8.216984
1636500390,12.149048,2.491074,0.000000,0.000000,0.000000,0.312500,-1.172161,3.613281,51.575092,1326.000000,2497.875000,12.750000,1334.437500,2498.437500,12.187500,6544,49.066162,8.321125,3168,51.527405,7.891205
1636501352,11.816406,1.727371,0.000000,0.000000,0.000000,0.312500,-1.172161,3.613281,52.356533,1318.500000,2498.250000,12.750000,1331.062500,2498.437500,12.187500,6579,49.656677,8.278400,3138,52.082825,7.597466
